subj,pas,discr_accu,loc_accu,expDes1,expDes2,expDes3,expDes4,expDes5
1,1,1,0,1,2,1,1,2
1,2,0,1,1,1,3,1,27
1,1,1,0,2,2,2,1,7
1,2,1,1,1,1,5,2,8
1,1,0,0,2,2,5,2,2
1,1,0,1,1,1,1,2,6
1,1,0,1,1,2,1,1,13
1,1,0,1,2,1,1,2,10
1,1,0,1,2,1,4,2,3
1,1,0,1,2,1,4,2,1
1,1,0,1,1,2,1,2,18
1,1,0,1,1,2,4,1,25
1,1,0,1,1,1,1,2,14
1,1,0,1,1,1,2,2,4
1,1,1,0,2,2,5,1,9
1,1,1,1,1,1,1,1,6
1,1,0,1,1,1,1,2,30
1,2,1,1,1,2,4,1,7
1,2,1,1,1,1,4,2,1
1,1,1,1,1,2,2,1,27
1,1,1,1,2,1,3,1,10
1,4,1,1,1,2,5,1,15
1,1,1,1,1,1,1,1,22
1,4,1,1,1,1,5,1,12
1,1,1,0,2,2,1,1,5
1,1,1,0,1,2,3,1,34
1,1,1,1,2,1,4,1,10
1,2,1,1,1,2,4,2,21
1,1,0,1,2,1,5,2,9
1,1,0,1,2,1,3,2,1
1,4,1,1,1,1,5,1,13
1,1,1,1,2,1,1,1,2
1,1,0,1,2,1,1,2,5
1,1,1,1,2,1,2,1,4
1,4,1,1,1,2,5,1,8
1,4,1,1,1,2,5,1,28
1,4,1,1,1,2,5,2,26
1,1,1,1,2,1,1,1,3
1,2,1,1,1,1,4,1,15
1,1,1,1,2,1,3,1,5
1,1,1,1,2,1,5,1,4
1,1,0,1,2,1,5,2,5
1,1,0,0,2,2,4,2,3
1,2,1,1,1,1,3,2,18
1,1,0,0,2,2,3,2,6
1,1,1,1,1,1,2,1,34
1,1,0,0,2,2,4,2,9
1,1,1,1,2,1,1,1,10
1,4,1,1,1,2,5,1,19
1,1,1,0,2,2,2,1,8
1,1,0,1,2,1,1,2,1
1,2,0,1,1,2,3,1,35
1,4,1,1,1,2,5,2,29
1,4,1,1,1,1,4,1,23
1,1,0,0,2,2,4,1,5
1,1,0,1,1,1,1,2,1
1,4,1,1,1,1,5,1,7
1,2,0,1,1,2,3,1,4
1,1,1,1,1,1,2,1,11
1,1,1,0,2,2,2,1,5
1,1,1,1,1,1,1,1,7
1,1,0,0,1,2,1,2,32
1,1,0,1,1,2,2,1,35
1,1,1,0,1,2,1,1,28
1,1,1,0,2,2,5,1,8
