,N_p,N_t,sigma_b,sigma_w,mu,seeds,QUID,OANOVA
229,30,100,15,1,0,29,Inf,0
230,30,100,15,1,0,30,Inf,0
231,30,100,15,1,0,31,Inf,0
232,30,100,15,1,0,32,Inf,0
233,30,100,15,1,0,33,Inf,0
234,30,100,15,1,0,34,Inf,0
235,30,100,15,1,0,35,Inf,0
236,30,100,15,1,0,36,Inf,0
237,30,100,15,1,0,37,Inf,0
238,30,100,15,1,0,38,Inf,0
239,30,100,15,1,0,39,Inf,0
240,30,100,15,1,0,40,Inf,0
241,30,100,15,1,0,41,Inf,0
242,30,100,15,1,0,42,Inf,0
243,30,100,15,1,0,43,Inf,0
244,30,100,15,1,0,44,Inf,0
245,30,100,15,1,0,45,Inf,0
246,30,100,15,1,0,46,Inf,0
247,30,100,15,1,0,47,Inf,0
248,30,100,15,1,0,48,Inf,0
249,30,100,15,1,0,49,Inf,0
250,30,100,15,1,0,50,Inf,0
251,30,100,15,1,0,51,Inf,0
252,30,100,15,1,0,52,Inf,0
253,30,100,15,1,0,53,Inf,0
254,30,100,15,1,0,54,Inf,0
255,30,100,15,1,0,55,Inf,0
256,30,100,15,1,0,56,Inf,0
257,30,100,15,1,0,57,Inf,0
258,30,100,15,1,0,58,Inf,0
259,30,100,15,1,0,59,Inf,0
260,30,100,15,1,0,60,Inf,0
261,30,100,15,1,0,61,Inf,0
262,30,100,15,1,0,62,Inf,0
263,30,100,15,1,0,63,Inf,0
264,30,100,15,1,0,64,Inf,0
265,30,100,15,1,0,65,Inf,0
266,30,100,15,1,0,66,Inf,0
267,30,100,15,1,0,67,Inf,0
268,30,100,15,1,0,68,Inf,0
269,30,100,15,1,0,69,Inf,0
270,30,100,15,1,0,70,Inf,0
271,30,100,15,1,0,71,Inf,0
272,30,100,15,1,0,72,Inf,0
273,30,100,15,1,0,73,Inf,0
274,30,100,15,1,0,74,Inf,0
275,30,100,15,1,0,75,Inf,0
276,30,100,15,1,0,76,Inf,0
277,30,100,15,1,0,77,Inf,0
278,30,100,15,1,0,78,Inf,0
279,30,100,15,1,0,79,Inf,0
280,30,100,15,1,0,80,Inf,0
281,30,100,15,1,0,81,Inf,0
282,30,100,15,1,0,82,Inf,0
283,30,100,15,1,0,83,Inf,0
284,30,100,15,1,0,84,Inf,0
285,30,100,15,1,0,85,Inf,0
286,30,100,15,1,0,86,Inf,0
287,30,100,15,1,0,87,Inf,0
288,30,100,15,1,0,88,Inf,0
289,30,100,15,1,0,89,Inf,0
290,30,100,15,1,0,90,Inf,0
291,30,100,15,1,0,91,Inf,0
292,30,100,15,1,0,92,Inf,0
293,30,100,15,1,0,93,Inf,0
294,30,100,15,1,0,94,Inf,0
295,30,100,15,1,0,95,Inf,0
296,30,100,15,1,0,96,Inf,0
297,30,100,15,1,0,97,Inf,0
298,30,100,15,1,0,98,Inf,0
299,30,100,15,1,0,99,Inf,0
300,30,100,15,1,0,100,Inf,0
301,30,100,15,1000,0,1,1.54E+19,0
302,30,100,15,1000,0,2,12530.59695,5.31E-09
303,30,100,15,1000,0,3,0.008587921,0.997677251
304,30,100,15,1000,0,4,0.734754603,0.001032903
305,30,100,15,1000,0,5,0.008837824,0.999697046
306,30,100,15,1000,0,6,168.9096293,7.68E-07
307,30,100,15,1000,0,7,0.023185511,0.9870047
