sub trial_no group_type block_type prime target mask1 mask2 congruency key_press key_error time_error RT
1 156 LeftLarger PercIBExp1 Prime_9A Target_9A FAhJgEm aHbABEl Congruent left correct Normal 1030.441
1 157 LeftLarger PercIBExp1 Prime_6N Target_6A lMHcbGF mlgJkBa Congruent left correct Normal 932.499
1 158 LeftLarger PercIBExp1 Prime_6A Target_9N DflekIJ BfiMbgG Congruent right error Normal 1455.063
1 159 LeftLarger PercIBExp1 Prime_4A Target_9A aMlKibk LJDMfFa Incongruent left error Normal 1159.598
1 160 LeftLarger PercIBExp1 Prime_1A Target_4N iBJIhdD HGafIjk Congruent right correct Normal 1189.822
2 1 LeftSmaller PercIAPrac Prime_1A Target_9N KbBgMCH lAadCDL Incongruent left correct Normal 2639.269
2 2 LeftSmaller PercIAPrac Prime_6A Target_6A KcfdbHk HmEiIaJ Congruent left error Normal 2074.628
2 3 LeftSmaller PercIAPrac Prime_1A Target_6N aigMEhJ HIiFcME Incongruent right error Normal 2142.825
2 4 LeftSmaller PercIAPrac Prime_9A Target_9A fdkHFhe JgbkfmG Congruent left error Normal 603.4415
2 5 LeftSmaller PercIAPrac Prime_9A Target_1N ecCLbda eCMcaJj Incongruent left error Normal 510.5155
2 6 LeftSmaller PercIAPrac Prime_4N Target_6A jGLcBel dmcjBbH Incongruent left correct Normal 1353.006
2 7 LeftSmaller PercIAPrac Prime_1N Target_6A AchgEjk haHEfJB Incongruent right error Normal 1137.962
2 8 LeftSmaller PercIAPrac Prime_6A Target_6N IelmiAj eficAIg Congruent left error Normal 1501.854
2 9 LeftSmaller PercIAPrac Prime_6A Target_4A LeEHAjb lfmkKaC Incongruent right correct Normal 4354.207
2 10 LeftSmaller PercIAPrac Prime_6N Target_9A KkehFiC BJmfKAh Congruent left error Normal 1288.53
2 11 LeftSmaller PercIAPrac Prime_9A Target_4N IGFmLDK icALdMh Incongruent left error Normal 1076.582
2 12 LeftSmaller PercIAPrac Prime_6A Target_4N mFIHcaj dGaKjlh Incongruent right correct Early 62.60103
