"","idv","iv","dv","exp"
"251",12,0,639.368568,"Chien_et_al._2022_2A"
"252",12,1,641.373152,"Chien_et_al._2022_2A"
"253",12,0,896.142622,"Chien_et_al._2022_2A"
"254",12,0,1232.19682,"Chien_et_al._2022_2A"
"255",12,0,1081.405799,"Chien_et_al._2022_2A"
"256",12,0,868.118203,"Chien_et_al._2022_2A"
"257",12,1,735.935839,"Chien_et_al._2022_2A"
"258",12,0,642.742569,"Chien_et_al._2022_2A"
"259",12,1,837.904583,"Chien_et_al._2022_2A"
"260",12,1,717.378983,"Chien_et_al._2022_2A"
"261",12,0,1082.021991,"Chien_et_al._2022_2A"
"262",12,1,703.697156,"Chien_et_al._2022_2A"
"263",12,1,642.857917,"Chien_et_al._2022_2A"
"264",12,1,675.777845,"Chien_et_al._2022_2A"
"265",12,1,586.717825,"Chien_et_al._2022_2A"
"266",12,0,730.363,"Chien_et_al._2022_2A"
"267",12,0,587.78788,"Chien_et_al._2022_2A"
"268",12,0,638.577095,"Chien_et_al._2022_2A"
"269",12,0,747.733248,"Chien_et_al._2022_2A"
"270",12,1,808.857393,"Chien_et_al._2022_2A"
"271",12,1,764.517421,"Chien_et_al._2022_2A"
"272",12,0,620.252741,"Chien_et_al._2022_2A"
"273",12,0,940.199796,"Chien_et_al._2022_2A"
"274",12,0,1115.493963,"Chien_et_al._2022_2A"
"275",12,1,646.213547,"Chien_et_al._2022_2A"
"276",12,0,582.661073,"Chien_et_al._2022_2A"
"277",12,1,652.410711,"Chien_et_al._2022_2A"
"278",12,0,649.818244,"Chien_et_al._2022_2A"
"279",12,1,691.466364,"Chien_et_al._2022_2A"
"280",12,0,766.698189,"Chien_et_al._2022_2A"
"281",12,0,723.87581,"Chien_et_al._2022_2A"
"282",12,1,716.016492,"Chien_et_al._2022_2A"
"283",12,1,745.135059,"Chien_et_al._2022_2A"
"284",12,0,519.177868,"Chien_et_al._2022_2A"
"285",12,1,612.597918,"Chien_et_al._2022_2A"
"286",12,0,564.641804,"Chien_et_al._2022_2A"
"287",12,1,628.571644,"Chien_et_al._2022_2A"
"288",12,0,596.538358,"Chien_et_al._2022_2A"
"289",12,1,745.675659,"Chien_et_al._2022_2A"
"290",12,1,708.015324,"Chien_et_al._2022_2A"
"291",12,0,655.473604,"Chien_et_al._2022_2A"
"292",12,1,906.460687,"Chien_et_al._2022_2A"
"293",12,0,620.030478,"Chien_et_al._2022_2A"
"294",12,1,724.094158,"Chien_et_al._2022_2A"
"295",12,1,1010.228618,"Chien_et_al._2022_2A"
"296",12,1,676.503363,"Chien_et_al._2022_2A"
"297",12,0,832.903665,"Chien_et_al._2022_2A"
"298",12,1,684.749984,"Chien_et_al._2022_2A"
"299",12,1,654.830908,"Chien_et_al._2022_2A"
"300",12,0,726.8863,"Chien_et_al._2022_2A"
"301",12,0,645.312749,"Chien_et_al._2022_2A"
"302",12,0,757.325495,"Chien_et_al._2022_2A"
"303",12,1,564.029527,"Chien_et_al._2022_2A"
"304",12,0,583.552836,"Chien_et_al._2022_2A"
"305",12,0,563.92984,"Chien_et_al._2022_2A"
"306",12,0,1235.023597,"Chien_et_al._2022_2A"
"307",12,1,758.845196,"Chien_et_al._2022_2A"
"308",12,1,579.949042,"Chien_et_al._2022_2A"
"309",12,0,723.297866,"Chien_et_al._2022_2A"
"310",12,1,581.450071,"Chien_et_al._2022_2A"
"311",12,1,588.370041,"Chien_et_al._2022_2A"
"312",12,1,739.621249,"Chien_et_al._2022_2A"
"313",12,1,632.734709,"Chien_et_al._2022_2A"
"314",12,1,771.818371,"Chien_et_al._2022_2A"
"315",12,0,686.631691,"Chien_et_al._2022_2A"
"316",12,1,561.683718,"Chien_et_al._2022_2A"
"317",12,0,636.720084,"Chien_et_al._2022_2A"
"318",12,0,948.198555,"Chien_et_al._2022_2A"
"319",12,0,524.847985,"Chien_et_al._2022_2A"
"320",12,1,913.083102,"Chien_et_al._2022_2A"
"321",12,1,865.568502,"Chien_et_al._2022_2A"
"322",12,0,1117.338626,"Chien_et_al._2022_2A"
"323",12,1,651.115983,"Chien_et_al._2022_2A"
"324",12,1,846.434606,"Chien_et_al._2022_2A"
"325",12,1,935.800915,"Chien_et_al._2022_2A"
"326",12,0,775.439933,"Chien_et_al._2022_2A"
"327",12,1,737.496499,"Chien_et_al._2022_2A"
"328",12,1,1048.381365,"Chien_et_al._2022_2A"
"329",12,0,927.674159,"Chien_et_al._2022_2A"
"330",12,1,879.097335,"Chien_et_al._2022_2A"
"331",12,0,606.926897,"Chien_et_al._2022_2A"
"332",12,0,751.1202,"Chien_et_al._2022_2A"
"333",12,0,724.036935,"Chien_et_al._2022_2A"
"334",12,1,657.490536,"Chien_et_al._2022_2A"
"335",12,0,859.664979,"Chien_et_al._2022_2A"
"336",12,1,855.291396,"Chien_et_al._2022_2A"
"337",12,0,701.72299,"Chien_et_al._2022_2A"
"338",12,0,651.64574,"Chien_et_al._2022_2A"
"339",12,0,724.428456,"Chien_et_al._2022_2A"
"340",12,0,535.017272,"Chien_et_al._2022_2A"
"341",12,0,767.427923,"Chien_et_al._2022_2A"
"342",12,1,706.129099,"Chien_et_al._2022_2A"
"343",12,0,990.040327,"Chien_et_al._2022_2A"
"344",12,1,644.610723,"Chien_et_al._2022_2A"
"345",12,1,740.218167,"Chien_et_al._2022_2A"
"346",12,0,792.087074,"Chien_et_al._2022_2A"
"347",12,0,819.448318,"Chien_et_al._2022_2A"
"348",12,0,978.099259,"Chien_et_al._2022_2A"
"349",12,1,816.29417,"Chien_et_al._2022_2A"
"350",12,0,667.900156,"Chien_et_al._2022_2A"
"351",12,0,791.282651,"Chien_et_al._2022_2A"
"352",12,0,668.363957,"Chien_et_al._2022_2A"
"353",12,0,656.311457,"Chien_et_al._2022_2A"
"354",12,1,880.314963,"Chien_et_al._2022_2A"
"355",12,1,660.872066,"Chien_et_al._2022_2A"
"356",12,0,655.479025,"Chien_et_al._2022_2A"
"357",12,1,800.985728,"Chien_et_al._2022_2A"
"358",12,1,658.967471,"Chien_et_al._2022_2A"
"359",12,0,801.713052,"Chien_et_al._2022_2A"
"360",12,1,628.133743,"Chien_et_al._2022_2A"
"361",12,1,673.887104,"Chien_et_al._2022_2A"
"362",12,0,629.637181,"Chien_et_al._2022_2A"
"363",12,0,719.074868,"Chien_et_al._2022_2A"
"364",12,1,612.530155,"Chien_et_al._2022_2A"
"365",12,0,669.938772,"Chien_et_al._2022_2A"
"366",12,0,679.790928,"Chien_et_al._2022_2A"
"367",12,0,864.271667,"Chien_et_al._2022_2A"
"368",12,1,1047.466713,"Chien_et_al._2022_2A"
"369",12,1,836.146657,"Chien_et_al._2022_2A"
"370",12,0,696.219119,"Chien_et_al._2022_2A"
"371",12,1,592.819819,"Chien_et_al._2022_2A"
"372",12,1,736.798388,"Chien_et_al._2022_2A"
"373",12,0,977.957409,"Chien_et_al._2022_2A"
"374",12,0,672.249344,"Chien_et_al._2022_2A"
"375",12,0,665.070368,"Chien_et_al._2022_2A"
"376",12,0,881.516027,"Chien_et_al._2022_2A"
"377",12,0,620.743045,"Chien_et_al._2022_2A"
"378",12,1,694.507573,"Chien_et_al._2022_2A"
"379",12,1,557.593536,"Chien_et_al._2022_2A"
"380",12,1,577.131301,"Chien_et_al._2022_2A"
"381",12,0,792.059065,"Chien_et_al._2022_2A"
"382",12,1,801.285692,"Chien_et_al._2022_2A"
"383",12,1,727.076639,"Chien_et_al._2022_2A"
"384",12,0,630.813549,"Chien_et_al._2022_2A"
"385",12,1,688.711266,"Chien_et_al._2022_2A"
"386",12,1,853.753324,"Chien_et_al._2022_2A"
"387",12,0,858.397959,"Chien_et_al._2022_2A"
"388",12,1,1095.773689,"Chien_et_al._2022_2A"
"389",12,0,661.615352,"Chien_et_al._2022_2A"
"390",12,1,728.541226,"Chien_et_al._2022_2A"
"391",12,0,739.987773,"Chien_et_al._2022_2A"
"392",12,1,659.532465,"Chien_et_al._2022_2A"
"393",12,1,658.530775,"Chien_et_al._2022_2A"
"394",12,1,640.278702,"Chien_et_al._2022_2A"
"395",12,0,627.453703,"Chien_et_al._2022_2A"
"396",12,0,680.936276,"Chien_et_al._2022_2A"
"397",12,0,681.366647,"Chien_et_al._2022_2A"
"398",12,1,681.223892,"Chien_et_al._2022_2A"
"399",12,0,747.123079,"Chien_et_al._2022_2A"
"400",12,0,747.901301,"Chien_et_al._2022_2A"
"401",12,0,920.501507,"Chien_et_al._2022_2A"
"402",12,1,659.623418,"Chien_et_al._2022_2A"
"403",12,1,749.026771,"Chien_et_al._2022_2A"
"404",12,0,678.96723,"Chien_et_al._2022_2A"
"405",12,1,670.400164,"Chien_et_al._2022_2A"
"406",12,0,688.308,"Chien_et_al._2022_2A"
"407",12,0,896.551008,"Chien_et_al._2022_2A"
