"","idv","iv","exp","dv"
"425",101,"Incongruent","Zerweck et al_2021_1",557
"426",101,"Incongruent","Zerweck et al_2021_1",351
"427",101,"Congruent","Zerweck et al_2021_1",367
"428",101,"Congruent","Zerweck et al_2021_1",481
"429",101,"Incongruent","Zerweck et al_2021_1",554
"430",101,"Congruent","Zerweck et al_2021_1",402
"431",101,"Congruent","Zerweck et al_2021_1",701
"432",101,"Incongruent","Zerweck et al_2021_1",478
"433",101,"Congruent","Zerweck et al_2021_1",390
"434",101,"Congruent","Zerweck et al_2021_1",382
"435",101,"Congruent","Zerweck et al_2021_1",442
"436",101,"Congruent","Zerweck et al_2021_1",415
"437",101,"Congruent","Zerweck et al_2021_1",430
"438",101,"Congruent","Zerweck et al_2021_1",529
"439",101,"Incongruent","Zerweck et al_2021_1",413
"440",101,"Incongruent","Zerweck et al_2021_1",468
"441",101,"Incongruent","Zerweck et al_2021_1",526
"442",101,"Incongruent","Zerweck et al_2021_1",436
"443",101,"Congruent","Zerweck et al_2021_1",338
"444",101,"Congruent","Zerweck et al_2021_1",428
"445",101,"Congruent","Zerweck et al_2021_1",449
"446",101,"Incongruent","Zerweck et al_2021_1",461
"447",101,"Incongruent","Zerweck et al_2021_1",536
"448",101,"Congruent","Zerweck et al_2021_1",367
"449",101,"Incongruent","Zerweck et al_2021_1",477
"450",101,"Incongruent","Zerweck et al_2021_1",419
"451",101,"Congruent","Zerweck et al_2021_1",473
"452",101,"Congruent","Zerweck et al_2021_1",561
"453",101,"Incongruent","Zerweck et al_2021_1",485
"454",101,"Incongruent","Zerweck et al_2021_1",502
"455",101,"Congruent","Zerweck et al_2021_1",460
"456",101,"Incongruent","Zerweck et al_2021_1",390
"457",101,"Congruent","Zerweck et al_2021_1",424
"458",101,"Incongruent","Zerweck et al_2021_1",414
"459",101,"Congruent","Zerweck et al_2021_1",355
"460",101,"Incongruent","Zerweck et al_2021_1",597
"461",101,"Congruent","Zerweck et al_2021_1",447
"462",101,"Congruent","Zerweck et al_2021_1",503
"463",101,"Incongruent","Zerweck et al_2021_1",534
"464",101,"Congruent","Zerweck et al_2021_1",364
"465",101,"Congruent","Zerweck et al_2021_1",445
"466",101,"Congruent","Zerweck et al_2021_1",330
"467",101,"Incongruent","Zerweck et al_2021_1",458
"468",101,"Incongruent","Zerweck et al_2021_1",442
"469",101,"Congruent","Zerweck et al_2021_1",487
"470",101,"Congruent","Zerweck et al_2021_1",327
"471",101,"Congruent","Zerweck et al_2021_1",450
"472",101,"Congruent","Zerweck et al_2021_1",491
"473",101,"Incongruent","Zerweck et al_2021_1",705
"474",101,"Incongruent","Zerweck et al_2021_1",368
"475",101,"Congruent","Zerweck et al_2021_1",472
"476",101,"Congruent","Zerweck et al_2021_1",398
"477",101,"Congruent","Zerweck et al_2021_1",493
"478",101,"Congruent","Zerweck et al_2021_1",745
"479",101,"Congruent","Zerweck et al_2021_1",414
"480",101,"Incongruent","Zerweck et al_2021_1",754
"481",101,"Incongruent","Zerweck et al_2021_1",336
"482",101,"Incongruent","Zerweck et al_2021_1",446
"483",101,"Congruent","Zerweck et al_2021_1",835
"484",101,"Incongruent","Zerweck et al_2021_1",389
"485",101,"Incongruent","Zerweck et al_2021_1",438
"486",101,"Incongruent","Zerweck et al_2021_1",549
"487",101,"Congruent","Zerweck et al_2021_1",368
"488",101,"Incongruent","Zerweck et al_2021_1",417
"489",101,"Incongruent","Zerweck et al_2021_1",523
"490",101,"Incongruent","Zerweck et al_2021_1",524
"491",101,"Congruent","Zerweck et al_2021_1",382
"492",101,"Incongruent","Zerweck et al_2021_1",466
"493",101,"Congruent","Zerweck et al_2021_1",368
"494",101,"Congruent","Zerweck et al_2021_1",425
"495",101,"Incongruent","Zerweck et al_2021_1",526
"496",101,"Congruent","Zerweck et al_2021_1",464
"497",101,"Congruent","Zerweck et al_2021_1",571
"498",101,"Congruent","Zerweck et al_2021_1",453
"499",101,"Incongruent","Zerweck et al_2021_1",435
"500",101,"Incongruent","Zerweck et al_2021_1",447
"501",101,"Congruent","Zerweck et al_2021_1",409
"502",101,"Incongruent","Zerweck et al_2021_1",627
"503",101,"Congruent","Zerweck et al_2021_1",590
"504",101,"Congruent","Zerweck et al_2021_1",640
"505",101,"Incongruent","Zerweck et al_2021_1",358
"506",101,"Incongruent","Zerweck et al_2021_1",457
"507",101,"Incongruent","Zerweck et al_2021_1",529
"508",101,"Congruent","Zerweck et al_2021_1",347
"509",101,"Incongruent","Zerweck et al_2021_1",504
"510",101,"Incongruent","Zerweck et al_2021_1",711
"511",101,"Incongruent","Zerweck et al_2021_1",479
"512",101,"Congruent","Zerweck et al_2021_1",508
"513",102,"Incongruent","Zerweck et al_2021_1",496
"514",102,"Incongruent","Zerweck et al_2021_1",464
"515",102,"Incongruent","Zerweck et al_2021_1",624
"516",102,"Incongruent","Zerweck et al_2021_1",515
"517",102,"Incongruent","Zerweck et al_2021_1",655
"518",102,"Incongruent","Zerweck et al_2021_1",516
"519",102,"Incongruent","Zerweck et al_2021_1",488
"520",102,"Incongruent","Zerweck et al_2021_1",484
"521",102,"Congruent","Zerweck et al_2021_1",448
"522",102,"Incongruent","Zerweck et al_2021_1",523
"523",102,"Incongruent","Zerweck et al_2021_1",567
"524",102,"Incongruent","Zerweck et al_2021_1",718
"525",102,"Congruent","Zerweck et al_2021_1",618
