"","idv","iv","iv2","exp","dv"
"229",1,2,1,"Stein & van Peelen_2020_3_1",1
"230",1,1,2,"Stein & van Peelen_2020_3_1",1
"231",1,1,1,"Stein & van Peelen_2020_3_1",1
"232",1,1,2,"Stein & van Peelen_2020_3_2",1
"233",1,2,1,"Stein & van Peelen_2020_3_2",1
"234",1,2,2,"Stein & van Peelen_2020_3_2",1
"235",1,2,1,"Stein & van Peelen_2020_3_1",1
"236",1,1,2,"Stein & van Peelen_2020_3_1",1
"237",1,1,1,"Stein & van Peelen_2020_3_1",1
"238",1,1,1,"Stein & van Peelen_2020_3_2",1
"239",1,2,2,"Stein & van Peelen_2020_3_2",1
"240",1,1,1,"Stein & van Peelen_2020_3_2",1
"241",1,2,2,"Stein & van Peelen_2020_3_2",1
"242",1,1,1,"Stein & van Peelen_2020_3_1",1
"243",1,1,2,"Stein & van Peelen_2020_3_1",1
"244",1,1,1,"Stein & van Peelen_2020_3_2",1
"245",1,1,1,"Stein & van Peelen_2020_3_1",1
"246",1,1,2,"Stein & van Peelen_2020_3_1",1
"247",1,1,2,"Stein & van Peelen_2020_3_2",1
"248",1,1,2,"Stein & van Peelen_2020_3_1",1
"249",1,2,1,"Stein & van Peelen_2020_3_1",1
"250",1,2,2,"Stein & van Peelen_2020_3_2",1
"251",1,2,1,"Stein & van Peelen_2020_3_2",1
"252",1,1,2,"Stein & van Peelen_2020_3_2",1
"253",1,2,2,"Stein & van Peelen_2020_3_1",1
"254",1,1,2,"Stein & van Peelen_2020_3_2",1
"255",1,1,2,"Stein & van Peelen_2020_3_2",1
"256",1,2,1,"Stein & van Peelen_2020_3_2",1
"257",1,1,2,"Stein & van Peelen_2020_3_2",1
"258",1,2,1,"Stein & van Peelen_2020_3_2",1
"259",1,2,1,"Stein & van Peelen_2020_3_1",1
"260",1,2,1,"Stein & van Peelen_2020_3_1",1
"261",1,1,1,"Stein & van Peelen_2020_3_1",1
"262",1,2,1,"Stein & van Peelen_2020_3_2",1
"263",1,1,1,"Stein & van Peelen_2020_3_2",1
"264",1,1,2,"Stein & van Peelen_2020_3_1",1
"265",1,2,2,"Stein & van Peelen_2020_3_2",1
"266",1,1,2,"Stein & van Peelen_2020_3_2",1
"267",1,1,1,"Stein & van Peelen_2020_3_2",1
"268",1,2,1,"Stein & van Peelen_2020_3_1",1
"269",1,1,1,"Stein & van Peelen_2020_3_2",1
"270",1,1,1,"Stein & van Peelen_2020_3_1",1
"271",1,1,1,"Stein & van Peelen_2020_3_2",1
"272",1,1,1,"Stein & van Peelen_2020_3_1",1
"273",1,1,1,"Stein & van Peelen_2020_3_1",1
"274",1,2,2,"Stein & van Peelen_2020_3_2",1
"275",1,2,1,"Stein & van Peelen_2020_3_1",1
"276",1,1,2,"Stein & van Peelen_2020_3_1",1
"277",1,2,1,"Stein & van Peelen_2020_3_2",1
"278",1,2,1,"Stein & van Peelen_2020_3_1",1
"279",1,2,2,"Stein & van Peelen_2020_3_2",1
"280",1,1,2,"Stein & van Peelen_2020_3_2",1
"281",1,1,1,"Stein & van Peelen_2020_3_2",1
"282",1,1,1,"Stein & van Peelen_2020_3_1",1
"283",1,2,1,"Stein & van Peelen_2020_3_2",1
"284",1,1,2,"Stein & van Peelen_2020_3_2",1
"285",1,1,1,"Stein & van Peelen_2020_3_1",1
"286",1,2,2,"Stein & van Peelen_2020_3_2",1
"287",1,2,1,"Stein & van Peelen_2020_3_1",1
"288",1,2,1,"Stein & van Peelen_2020_3_2",1
"289",2,1,1,"Stein & van Peelen_2020_3_2",1
"290",2,2,2,"Stein & van Peelen_2020_3_1",2
"291",2,1,2,"Stein & van Peelen_2020_3_1",1
"292",2,2,2,"Stein & van Peelen_2020_3_2",1
"293",2,2,1,"Stein & van Peelen_2020_3_1",1
"294",2,2,2,"Stein & van Peelen_2020_3_2",2
"295",2,2,2,"Stein & van Peelen_2020_3_1",1
"296",2,2,2,"Stein & van Peelen_2020_3_1",1
"297",2,1,2,"Stein & van Peelen_2020_3_2",2
"298",2,1,2,"Stein & van Peelen_2020_3_2",1
"299",2,2,1,"Stein & van Peelen_2020_3_1",1
"300",2,2,2,"Stein & van Peelen_2020_3_1",1
"301",2,2,2,"Stein & van Peelen_2020_3_1",1
"302",2,1,1,"Stein & van Peelen_2020_3_1",1
"303",2,1,1,"Stein & van Peelen_2020_3_1",1
"304",2,1,1,"Stein & van Peelen_2020_3_2",1
"305",2,2,2,"Stein & van Peelen_2020_3_1",1
"306",2,2,2,"Stein & van Peelen_2020_3_2",1
"307",2,2,2,"Stein & van Peelen_2020_3_2",1
"308",2,2,1,"Stein & van Peelen_2020_3_1",1
"309",2,2,1,"Stein & van Peelen_2020_3_2",1
"310",2,2,1,"Stein & van Peelen_2020_3_1",1
"311",2,2,2,"Stein & van Peelen_2020_3_1",1
"312",2,2,1,"Stein & van Peelen_2020_3_2",1
"313",2,2,1,"Stein & van Peelen_2020_3_1",1
"314",2,1,2,"Stein & van Peelen_2020_3_1",1
"315",2,1,2,"Stein & van Peelen_2020_3_2",1
"316",2,2,1,"Stein & van Peelen_2020_3_2",1
"317",2,2,2,"Stein & van Peelen_2020_3_1",1
"318",2,2,1,"Stein & van Peelen_2020_3_1",2
"319",2,1,2,"Stein & van Peelen_2020_3_2",2
"320",2,1,1,"Stein & van Peelen_2020_3_1",2
"321",2,2,1,"Stein & van Peelen_2020_3_1",2
"322",2,2,2,"Stein & van Peelen_2020_3_1",2
"323",2,1,2,"Stein & van Peelen_2020_3_1",2
"324",2,1,1,"Stein & van Peelen_2020_3_2",2
"325",2,2,1,"Stein & van Peelen_2020_3_2",1
"326",2,1,1,"Stein & van Peelen_2020_3_2",2
"327",2,1,2,"Stein & van Peelen_2020_3_1",1
"328",2,2,1,"Stein & van Peelen_2020_3_1",2
"329",2,1,1,"Stein & van Peelen_2020_3_1",2
"330",2,1,1,"Stein & van Peelen_2020_3_2",2
"331",2,1,1,"Stein & van Peelen_2020_3_2",2
"332",2,1,2,"Stein & van Peelen_2020_3_2",2
"333",2,1,2,"Stein & van Peelen_2020_3_2",2
"334",2,1,2,"Stein & van Peelen_2020_3_1",2
"335",2,1,2,"Stein & van Peelen_2020_3_2",2
"336",2,1,1,"Stein & van Peelen_2020_3_2",2
