idv,iv,iv2,dv,exp
903,2,1,1.083710423,Biderman & Mudrik_2018_2
903,2,2,1.208519978,Biderman & Mudrik_2018_2
903,2,1,1.188878448,Biderman & Mudrik_2018_2
903,1,2,2.038526979,Biderman & Mudrik_2018_2
903,1,2,2.047543768,Biderman & Mudrik_2018_2
903,1,1,2.402344302,Biderman & Mudrik_2018_2
903,1,2,1.050613131,Biderman & Mudrik_2018_2
903,2,2,1.188880444,Biderman & Mudrik_2018_2
903,2,1,1.255422845,Biderman & Mudrik_2018_2
903,1,2,1.478823504,Biderman & Mudrik_2018_2
903,2,1,1.558664009,Biderman & Mudrik_2018_2
903,2,2,3.60694504,Biderman & Mudrik_2018_2
903,2,2,1.131332593,Biderman & Mudrik_2018_2
903,1,2,1.546471515,Biderman & Mudrik_2018_2
903,1,1,1.160836226,Biderman & Mudrik_2018_2
903,1,1,0.82682531,Biderman & Mudrik_2018_2
903,1,2,0.970908333,Biderman & Mudrik_2018_2
903,2,2,0.385988811,Biderman & Mudrik_2018_2
903,1,2,1.092970685,Biderman & Mudrik_2018_2
903,2,2,1.608947282,Biderman & Mudrik_2018_2
903,1,2,1.97200653,Biderman & Mudrik_2018_2
903,2,2,0.692965895,Biderman & Mudrik_2018_2
903,1,2,0.825675511,Biderman & Mudrik_2018_2
903,1,1,1.527388493,Biderman & Mudrik_2018_2
903,2,1,1.674165975,Biderman & Mudrik_2018_2
903,1,1,0.56748294,Biderman & Mudrik_2018_2
903,2,2,0.303382286,Biderman & Mudrik_2018_2
903,2,2,0.781181149,Biderman & Mudrik_2018_2
903,1,1,0.30283889,Biderman & Mudrik_2018_2
903,2,1,1.428702451,Biderman & Mudrik_2018_2
903,1,1,0.563148312,Biderman & Mudrik_2018_2
903,2,2,1.354403678,Biderman & Mudrik_2018_2
903,1,2,1.503561727,Biderman & Mudrik_2018_2
903,2,1,0.688531769,Biderman & Mudrik_2018_2
903,2,1,1.434932409,Biderman & Mudrik_2018_2
903,1,2,0.594115923,Biderman & Mudrik_2018_2
903,2,1,1.326994088,Biderman & Mudrik_2018_2
903,2,2,1.355292898,Biderman & Mudrik_2018_2
903,1,1,0.970648894,Biderman & Mudrik_2018_2
903,2,1,0.813055656,Biderman & Mudrik_2018_2
903,2,2,0.302373325,Biderman & Mudrik_2018_2
903,2,1,0.553679929,Biderman & Mudrik_2018_2
903,1,1,0.628808622,Biderman & Mudrik_2018_2
903,1,2,0.718610159,Biderman & Mudrik_2018_2
903,2,1,0.632776613,Biderman & Mudrik_2018_2
903,2,1,0.644798048,Biderman & Mudrik_2018_2
903,1,2,0.689110233,Biderman & Mudrik_2018_2
903,1,2,0.90561808,Biderman & Mudrik_2018_2
903,2,2,1.2820889,Biderman & Mudrik_2018_2
903,2,2,0.549867315,Biderman & Mudrik_2018_2
903,2,1,0.563634689,Biderman & Mudrik_2018_2
903,1,1,1.186537795,Biderman & Mudrik_2018_2
903,2,1,0.685845292,Biderman & Mudrik_2018_2
903,2,2,0.662987289,Biderman & Mudrik_2018_2
903,1,1,0.818556903,Biderman & Mudrik_2018_2
903,2,1,0.981802776,Biderman & Mudrik_2018_2
903,1,1,0.679317122,Biderman & Mudrik_2018_2
903,1,1,1.186419764,Biderman & Mudrik_2018_2
903,2,1,1.22534474,Biderman & Mudrik_2018_2
903,1,2,0.536580902,Biderman & Mudrik_2018_2
903,1,2,1.57633095,Biderman & Mudrik_2018_2
903,1,1,0.684151526,Biderman & Mudrik_2018_2
903,2,2,0.750049892,Biderman & Mudrik_2018_2
903,2,1,0.716103294,Biderman & Mudrik_2018_2
903,1,1,1.23082204,Biderman & Mudrik_2018_2
903,1,2,0.545789847,Biderman & Mudrik_2018_2
903,2,2,0.412388299,Biderman & Mudrik_2018_2
903,1,1,0.742037788,Biderman & Mudrik_2018_2
903,2,1,0.520191768,Biderman & Mudrik_2018_2
903,2,2,0.440116628,Biderman & Mudrik_2018_2
903,1,1,1.01317266,Biderman & Mudrik_2018_2
903,1,2,0.461185642,Biderman & Mudrik_2018_2
903,2,1,1.274775571,Biderman & Mudrik_2018_2
903,1,1,0.427552652,Biderman & Mudrik_2018_2
903,1,2,2.392468514,Biderman & Mudrik_2018_2
903,2,1,1.595486103,Biderman & Mudrik_2018_2
903,2,1,0.62475225,Biderman & Mudrik_2018_2
903,1,2,0.897780457,Biderman & Mudrik_2018_2
903,1,2,0.88495419,Biderman & Mudrik_2018_2
903,2,1,0.486074967,Biderman & Mudrik_2018_2
903,1,1,0.306274319,Biderman & Mudrik_2018_2
903,1,2,0.95056917,Biderman & Mudrik_2018_2
903,2,1,0.680443259,Biderman & Mudrik_2018_2
903,2,2,0.536410128,Biderman & Mudrik_2018_2
903,1,1,0.359064172,Biderman & Mudrik_2018_2
903,2,2,0.310120289,Biderman & Mudrik_2018_2
903,1,1,1.26407813,Biderman & Mudrik_2018_2
903,2,2,1.568093049,Biderman & Mudrik_2018_2
903,2,1,0.654579754,Biderman & Mudrik_2018_2
903,2,1,1.24167942,Biderman & Mudrik_2018_2
903,1,1,0.740111097,Biderman & Mudrik_2018_2
903,1,2,0.561920396,Biderman & Mudrik_2018_2
903,2,1,0.764275418,Biderman & Mudrik_2018_2
903,1,1,0.561610495,Biderman & Mudrik_2018_2
903,1,2,0.939132755,Biderman & Mudrik_2018_2
903,2,2,0.677599408,Biderman & Mudrik_2018_2
903,2,2,2.529165792,Biderman & Mudrik_2018_2
903,1,2,0.324803682,Biderman & Mudrik_2018_2
903,1,1,1.94174026,Biderman & Mudrik_2018_2
903,1,1,1.22836022,Biderman & Mudrik_2018_2
903,2,2,0.692516296,Biderman & Mudrik_2018_2
903,2,1,0.572946554,Biderman & Mudrik_2018_2
903,1,1,1.298283027,Biderman & Mudrik_2018_2
903,1,2,0.64525506,Biderman & Mudrik_2018_2
903,2,1,0.812988088,Biderman & Mudrik_2018_2
903,2,1,0.42230229,Biderman & Mudrik_2018_2
903,1,2,0.361137403,Biderman & Mudrik_2018_2
903,1,1,0.613147913,Biderman & Mudrik_2018_2
903,1,1,0.498648636,Biderman & Mudrik_2018_2
903,1,2,0.493806535,Biderman & Mudrik_2018_2
903,2,2,0.920265267,Biderman & Mudrik_2018_2
903,1,1,1.092450381,Biderman & Mudrik_2018_2
903,1,2,0.456991568,Biderman & Mudrik_2018_2
903,2,2,0.498120065,Biderman & Mudrik_2018_2
903,2,1,0.36067469,Biderman & Mudrik_2018_2
903,2,1,0.557786478,Biderman & Mudrik_2018_2
903,1,1,0.650494303,Biderman & Mudrik_2018_2
903,2,2,0.768476905,Biderman & Mudrik_2018_2
903,1,1,0.336240666,Biderman & Mudrik_2018_2
903,2,1,0.489657506,Biderman & Mudrik_2018_2
903,2,1,0.454950838,Biderman & Mudrik_2018_2
903,1,2,0.403072442,Biderman & Mudrik_2018_2
903,1,2,0.635931506,Biderman & Mudrik_2018_2
903,1,1,0.309190299,Biderman & Mudrik_2018_2
903,1,2,0.376493342,Biderman & Mudrik_2018_2
903,2,1,0.462846907,Biderman & Mudrik_2018_2
903,2,2,0.365122216,Biderman & Mudrik_2018_2
903,2,2,0.456911455,Biderman & Mudrik_2018_2
903,1,1,0.505986484,Biderman & Mudrik_2018_2
903,2,1,0.940888388,Biderman & Mudrik_2018_2
903,1,2,0.662407686,Biderman & Mudrik_2018_2
903,2,1,0.673487157,Biderman & Mudrik_2018_2
