idv,iv,dv,exp
201,cong,0.3117,Noel et al_2020_AV
201,cong,0.30769,Noel et al_2020_V
201,cong,0.36835,Noel et al_2020_A
201,cong,0.36747,Noel et al_2020_AV
201,cong,0.28928,Noel et al_2020_A
201,cong,0.4858,Noel et al_2020_A
201,cong,0.32808,Noel et al_2020_A
201,cong,0.31839,Noel et al_2020_AV
201,cong,0.33277,Noel et al_2020_V
201,cong,0.33718,Noel et al_2020_V
201,cong,0.3884,Noel et al_2020_AV
201,incong,0.28886,Noel et al_2020_AV
201,cong,0.4006,Noel et al_2020_AV
201,cong,0.35567,Noel et al_2020_A
201,incong,0.32392,Noel et al_2020_V
201,cong,0.30985,Noel et al_2020_V
201,cong,0.28655,Noel et al_2020_V
201,incong,0.34775,Noel et al_2020_V
201,cong,0.32646,Noel et al_2020_A
201,cong,0.25907,Noel et al_2020_A
201,cong,0.33975,Noel et al_2020_V
201,cong,0.29001,Noel et al_2020_A
201,cong,0.25991,Noel et al_2020_V
201,cong,0.28075,Noel et al_2020_V
201,cong,0.25711,Noel et al_2020_AV
201,cong,0.38768,Noel et al_2020_V
201,incong,0.37747,Noel et al_2020_AV
201,cong,0.3297,Noel et al_2020_AV
201,cong,0.29132,Noel et al_2020_A
201,cong,0.28842,Noel et al_2020_A
201,incong,0.32081,Noel et al_2020_A
201,cong,0.32606,Noel et al_2020_A
201,cong,0.26394,Noel et al_2020_V
201,cong,0.2939,Noel et al_2020_V
201,cong,0.30604,Noel et al_2020_AV
201,cong,0.31062,Noel et al_2020_AV
201,cong,0.31447,Noel et al_2020_AV
201,incong,0.33901,Noel et al_2020_AV
201,incong,0.29555,Noel et al_2020_V
201,cong,0.4234,Noel et al_2020_V
201,cong,0.27566,Noel et al_2020_V
201,incong,0.28269,Noel et al_2020_V
201,cong,0.37011,Noel et al_2020_AV
201,cong,0.31169,Noel et al_2020_V
201,cong,0.34524,Noel et al_2020_V
201,incong,0.25272,Noel et al_2020_A
201,cong,0.3379,Noel et al_2020_A
201,cong,0.29702,Noel et al_2020_AV
201,cong,0.29658,Noel et al_2020_V
201,cong,0.2552,Noel et al_2020_A
201,cong,0.30767,Noel et al_2020_A
201,cong,0.25117,Noel et al_2020_AV
201,cong,0.35583,Noel et al_2020_A
201,cong,0.6502,Noel et al_2020_A
201,cong,0.4283,Noel et al_2020_AV
201,cong,0.35483,Noel et al_2020_AV
201,cong,0.38764,Noel et al_2020_AV
201,cong,0.34281,Noel et al_2020_AV
201,cong,0.3844,Noel et al_2020_A
201,cong,0.4719,Noel et al_2020_A
201,cong,0.25297,Noel et al_2020_A
201,cong,0.38736,Noel et al_2020_A
201,cong,0.632,Noel et al_2020_A
201,cong,0.6033,Noel et al_2020_V
201,cong,0.34135,Noel et al_2020_AV
201,cong,0.4376,Noel et al_2020_AV
201,cong,0.5358,Noel et al_2020_V
201,cong,0.5175,Noel et al_2020_AV
201,cong,0.4331,Noel et al_2020_A
201,cong,0.33783,Noel et al_2020_A
201,cong,0.32293,Noel et al_2020_A
201,cong,0.32398,Noel et al_2020_AV
201,cong,0.4732,Noel et al_2020_V
201,cong,0.3745,Noel et al_2020_A
201,incong,0.29375,Noel et al_2020_A
201,cong,0.31097,Noel et al_2020_A
201,cong,0.29164,Noel et al_2020_V
201,cong,0.34967,Noel et al_2020_V
201,incong,0.3302,Noel et al_2020_A
201,cong,0.33821,Noel et al_2020_V
201,incong,0.3517,Noel et al_2020_AV
201,incong,0.4112,Noel et al_2020_V
201,cong,0.3281,Noel et al_2020_AV
201,cong,0.3198,Noel et al_2020_A
201,cong,0.33491,Noel et al_2020_V
201,cong,0.368,Noel et al_2020_A
201,cong,0.31551,Noel et al_2020_A
201,cong,0.34625,Noel et al_2020_AV
201,cong,0.34129,Noel et al_2020_A
201,cong,0.3942,Noel et al_2020_V
201,incong,0.33914,Noel et al_2020_AV
201,cong,0.34564,Noel et al_2020_A
201,cong,0.31595,Noel et al_2020_AV
201,cong,0.25215,Noel et al_2020_V
201,cong,0.37767,Noel et al_2020_A
201,incong,0.26925,Noel et al_2020_AV
201,cong,0.32962,Noel et al_2020_V
201,incong,0.28503,Noel et al_2020_V
201,cong,0.29739,Noel et al_2020_AV
201,incong,0.33033,Noel et al_2020_A
201,incong,0.36109,Noel et al_2020_AV
201,cong,0.38913,Noel et al_2020_V
201,cong,0.33831,Noel et al_2020_A
201,cong,0.4086,Noel et al_2020_A
201,cong,0.37375,Noel et al_2020_V
201,cong,0.408,Noel et al_2020_V
201,cong,0.29843,Noel et al_2020_A
201,incong,0.38087,Noel et al_2020_AV
201,cong,0.28494,Noel et al_2020_V
201,cong,0.34785,Noel et al_2020_AV
201,cong,0.28297,Noel et al_2020_V
201,incong,0.3952,Noel et al_2020_V
201,incong,0.29924,Noel et al_2020_V
201,cong,0.30134,Noel et al_2020_A
201,cong,0.33228,Noel et al_2020_AV
201,cong,0.31227,Noel et al_2020_A
201,cong,0.33072,Noel et al_2020_A
201,cong,0.5658,Noel et al_2020_V
201,cong,0.36571,Noel et al_2020_AV
201,cong,0.38915,Noel et al_2020_AV
201,incong,0.32602,Noel et al_2020_AV
201,cong,0.28985,Noel et al_2020_AV
201,cong,0.4087,Noel et al_2020_AV
201,cong,0.35434,Noel et al_2020_V
201,cong,0.26993,Noel et al_2020_V
201,cong,0.482,Noel et al_2020_A
201,cong,0.5481,Noel et al_2020_AV
201,cong,0.38061,Noel et al_2020_A
201,incong,0.32872,Noel et al_2020_V
201,cong,0.392,Noel et al_2020_V
201,cong,0.36773,Noel et al_2020_A
201,incong,0.3917,Noel et al_2020_V
201,cong,0.26125,Noel et al_2020_A
201,cong,0.31846,Noel et al_2020_A
201,incong,0.4068,Noel et al_2020_A
201,cong,0.33768,Noel et al_2020_A
201,cong,0.28465,Noel et al_2020_V
201,cong,0.6352,Noel et al_2020_V
201,cong,0.29867,Noel et al_2020_A
201,incong,0.31773,Noel et al_2020_A
201,cong,0.28436,Noel et al_2020_A
201,cong,0.35403,Noel et al_2020_V
201,cong,0.36726,Noel et al_2020_AV
201,cong,0.5731,Noel et al_2020_A
201,cong,0.25537,Noel et al_2020_AV
201,cong,0.27795,Noel et al_2020_AV
201,cong,0.4608,Noel et al_2020_A
201,cong,0.25835,Noel et al_2020_A
201,cong,0.36381,Noel et al_2020_AV
201,cong,0.27469,Noel et al_2020_A
201,incong,0.37577,Noel et al_2020_AV
201,cong,0.30786,Noel et al_2020_V
201,cong,0.37923,Noel et al_2020_A
201,incong,0.4134,Noel et al_2020_A
201,incong,0.32576,Noel et al_2020_V
201,cong,0.2667,Noel et al_2020_V
201,cong,0.3927,Noel et al_2020_A
201,incong,0.29221,Noel et al_2020_V
201,cong,0.4051,Noel et al_2020_AV
201,incong,0.34598,Noel et al_2020_AV
201,cong,0.32316,Noel et al_2020_AV
201,cong,0.27202,Noel et al_2020_V
201,cong,0.37394,Noel et al_2020_A
201,cong,0.34255,Noel et al_2020_V
201,cong,0.30817,Noel et al_2020_V
201,incong,0.28644,Noel et al_2020_AV
201,cong,0.29661,Noel et al_2020_A
201,cong,0.4854,Noel et al_2020_AV
201,cong,0.32817,Noel et al_2020_A
201,cong,0.35779,Noel et al_2020_V
201,incong,0.32993,Noel et al_2020_A
201,cong,0.34124,Noel et al_2020_AV
201,cong,0.28672,Noel et al_2020_V
201,cong,0.31469,Noel et al_2020_AV
201,cong,0.2651,Noel et al_2020_AV
201,incong,0.2835,Noel et al_2020_V
201,cong,0.34105,Noel et al_2020_AV
201,cong,0.6763,Noel et al_2020_A
201,cong,0.34706,Noel et al_2020_AV
201,cong,0.32415,Noel et al_2020_AV
201,cong,0.29877,Noel et al_2020_V
201,cong,0.37733,Noel et al_2020_V
201,cong,0.30351,Noel et al_2020_V
201,cong,0.4534,Noel et al_2020_A
201,cong,0.34634,Noel et al_2020_A
201,cong,0.4166,Noel et al_2020_A
201,cong,0.28262,Noel et al_2020_A
201,cong,0.29585,Noel et al_2020_V
201,cong,0.3645,Noel et al_2020_AV
201,incong,0.25008,Noel et al_2020_V
201,cong,0.26298,Noel et al_2020_A
201,cong,0.30575,Noel et al_2020_AV
201,cong,0.31547,Noel et al_2020_V
201,incong,0.29481,Noel et al_2020_V
201,cong,0.29568,Noel et al_2020_AV
201,cong,0.32062,Noel et al_2020_AV
201,cong,0.28963,Noel et al_2020_A
201,cong,0.25164,Noel et al_2020_V
201,cong,0.29168,Noel et al_2020_A
201,cong,0.30625,Noel et al_2020_V
201,incong,0.37023,Noel et al_2020_AV
201,cong,0.27361,Noel et al_2020_V
201,cong,0.37066,Noel et al_2020_V
201,cong,0.31965,Noel et al_2020_V
201,cong,0.35835,Noel et al_2020_V
201,cong,0.6766,Noel et al_2020_AV
201,incong,0.26031,Noel et al_2020_V
201,cong,0.28332,Noel et al_2020_AV
201,cong,0.32896,Noel et al_2020_A
201,cong,0.5048,Noel et al_2020_A
201,cong,0.33979,Noel et al_2020_V
201,incong,0.3454,Noel et al_2020_AV
201,incong,0.4346,Noel et al_2020_A
201,incong,0.33076,Noel et al_2020_AV
201,cong,0.5146,Noel et al_2020_V
201,cong,0.35523,Noel et al_2020_AV
201,cong,0.25478,Noel et al_2020_AV
201,cong,0.32527,Noel et al_2020_AV
201,cong,0.4765,Noel et al_2020_AV
201,cong,0.6472,Noel et al_2020_A
201,cong,0.4206,Noel et al_2020_V
201,cong,0.26422,Noel et al_2020_A
201,cong,0.29348,Noel et al_2020_V
201,cong,0.30987,Noel et al_2020_AV
201,cong,0.28316,Noel et al_2020_V
201,cong,0.30473,Noel et al_2020_AV
201,cong,0.3206,Noel et al_2020_A
201,cong,0.5094,Noel et al_2020_A
201,cong,0.37208,Noel et al_2020_V
201,cong,0.34836,Noel et al_2020_V
201,cong,0.35923,Noel et al_2020_A
201,cong,0.34428,Noel et al_2020_V
201,cong,0.34512,Noel et al_2020_AV
201,cong,0.32138,Noel et al_2020_A
201,cong,0.27598,Noel et al_2020_V
201,incong,0.5401,Noel et al_2020_A
201,cong,0.38437,Noel et al_2020_A
201,cong,0.33098,Noel et al_2020_AV
201,cong,0.25025,Noel et al_2020_V
201,incong,0.33925,Noel et al_2020_AV
201,incong,0.32453,Noel et al_2020_V
201,cong,0.27817,Noel et al_2020_V
201,cong,0.29408,Noel et al_2020_A
201,incong,0.36761,Noel et al_2020_V
201,cong,0.4233,Noel et al_2020_AV
201,cong,0.38675,Noel et al_2020_A
201,incong,0.4139,Noel et al_2020_AV
201,incong,0.37119,Noel et al_2020_AV
201,cong,0.4175,Noel et al_2020_A
201,cong,0.30909,Noel et al_2020_AV
201,cong,0.37053,Noel et al_2020_A
201,cong,0.4734,Noel et al_2020_A
201,cong,0.74,Noel et al_2020_AV
201,cong,0.33347,Noel et al_2020_V
201,cong,0.29969,Noel et al_2020_V
201,cong,0.4356,Noel et al_2020_V
201,cong,0.34685,Noel et al_2020_A
201,cong,0.36662,Noel et al_2020_V
201,incong,0.29528,Noel et al_2020_A
201,incong,0.4051,Noel et al_2020_AV
201,cong,0.3907,Noel et al_2020_A
201,cong,0.30144,Noel et al_2020_AV
201,cong,0.30399,Noel et al_2020_V
201,cong,0.36433,Noel et al_2020_AV
201,cong,0.3906,Noel et al_2020_V
201,incong,0.2911,Noel et al_2020_V
201,cong,0.26515,Noel et al_2020_A
201,cong,0.38563,Noel et al_2020_A
201,cong,0.35875,Noel et al_2020_AV
201,cong,0.27896,Noel et al_2020_AV
201,cong,0.27322,Noel et al_2020_AV
201,incong,0.25958,Noel et al_2020_AV
201,cong,0.3653,Noel et al_2020_V
201,incong,0.36228,Noel et al_2020_A
201,incong,0.29384,Noel et al_2020_V
201,cong,0.4175,Noel et al_2020_AV
201,cong,0.563,Noel et al_2020_A
201,cong,0.4002,Noel et al_2020_AV
201,cong,0.30013,Noel et al_2020_V
201,cong,0.4888,Noel et al_2020_A
201,cong,0.28474,Noel et al_2020_V
201,cong,0.36694,Noel et al_2020_V
201,cong,0.5719,Noel et al_2020_AV
201,cong,0.31413,Noel et al_2020_V
201,cong,0.30506,Noel et al_2020_AV
201,cong,0.35653,Noel et al_2020_A
201,incong,0.35949,Noel et al_2020_AV
201,incong,0.33645,Noel et al_2020_V
201,cong,0.32101,Noel et al_2020_V
201,cong,0.4493,Noel et al_2020_A
201,cong,0.5088,Noel et al_2020_V
201,cong,0.485,Noel et al_2020_AV
