"Subject" "TrialNr" "Arrow" "ArrowTask.CRESP" "ArrowTask.RESP" "ArrowTask.ACC" "ArrowTask.RT" "Target" "Distractor" "Task" "TypeOfRelation" "Relatedness" "Word" "WordColor" "Picture" "PictureColor" "VoiceTask.RT" "WordError" "SpeechError" "IncorrectTrigger" "AnyError"
10 138 "right" 2 1 0 266 "rugby" "rugzak" "word" "phonological" "related" "rugby" "green" "rugzak_red.bmp" "red" 639.3 0 0 0 0
10 139 "right" 2 2 1 242 "beitel" "hamer" "pic" "semantic" "related" "hamer" "red" "beitel_green.bmp" "green" 912.3 0 0 0 0
10 140 "left" 1 2 0 151 "lepel" "lelie" "pic" "phonological" "related" "lelie" "red" "lepel_green.bmp" "green" 1320.3 0 0 0 0
10 141 "right" 2 2 1 522 "zetel" "hamer" "word" "semantic" "unrelated" "zetel" "green" "hamer_red.bmp" "red" 1304.3 0 0 0 0
10 142 "right" 2 2 1 294 "appel" "banaan" "pic" "semantic" "related" "banaan" "red" "appel_green.bmp" "green" 1497.3 0 0 0 0
10 143 "right" 2 2 1 241 "bezem" "beker" "word" "phonological" "related" "bezem" "green" "beker_red.bmp" "red" 802.3 0 0 0 0
10 144 "right" 2 2 1 316 "kanon" "fabriek" "pic" "semantic" "unrelated" "fabriek" "red" "kanon_green.bmp" "green" 1068.3 0 0 0 0
10 145 "left" 1 1 1 504 "totem" "toren" "pic" "phonological" "related" "toren" "red" "totem_green.bmp" "green" 1097.3 0 0 0 0
10 146 "right" 2 2 1 356 "hamer" "beitel" "word" "semantic" "related" "hamer" "green" "beitel_red.bmp" "red" 1097.3 0 0 0 0
10 147 "left" 1 1 1 234 "schildpad" "vliegtuig" "pic" "semantic" "unrelated" "vliegtuig" "red" "schildpad_green.bmp" "green" 1164.3 0 0 0 0
10 148 "left" 1 1 1 195 "tafel" "zebra" "word" "phonological" "unrelated" "tafel" "green" "zebra_red.bmp" "red" 815.3 0 0 0 0
10 149 "left" 1 1 1 57 "pistool" "molen" "word" "semantic" "unrelated" "pistool" "green" "molen_red.bmp" "red" 932.3 0 0 0 0
10 150 "right" 2 2 1 241 "auto" "vliegtuig" "pic" "semantic" "related" "vliegtuig" "red" "auto_green.bmp" "green" 936.3 0 0 0 0
10 151 "right" 2 2 1 203 "lelie" "lepel" "pic" "phonological" "related" "lepel" "red" "lelie_green.bmp" "green" 1037.3 0 0 0 0
10 152 "left" 1 1 1 172 "vulpen" "potlood" "pic" "semantic" "related" "potlood" "red" "vulpen_green.bmp" "green" 1411.3 0 0 0 0
10 153 "right" 2 2 1 144 "circus" "toren" "pic" "phonological" "unrelated" "toren" "red" "circus_green.bmp" "green" 1019.3 0 0 0 0
10 154 "left" 1 1 1 214 "vliegtuig" "auto" "pic" "semantic" "related" "auto" "red" "vliegtuig_green.bmp" "green" 1060.3 0 0 0 0
10 155 "right" 2 2 1 350 "koning" "kogel" "word" "phonological" "related" "koning" "green" "kogel_red.bmp" "red" 928.3 0 0 0 0
10 156 "right" 2 2 1 317 "banaan" "appel" "pic" "semantic" "related" "appel" "red" "banaan_green.bmp" "green" 932.3 0 0 0 0
10 157 "right" 2 2 1 79 "circus" "cirkel" "word" "phonological" "related" "circus" "green" "cirkel_red.bmp" "red" 941.3 0 0 0 0
10 158 "right" 2 2 1 206 "kabel" "kano" "word" "phonological" "related" "kabel" "green" "kano_red.bmp" "red" 814.3 0 0 0 0
10 159 "right" 2 2 1 227 "bureau" "zetel" "pic" "semantic" "related" "zetel" "red" "bureau_green.bmp" "green" 1330.3 0 0 0 0
10 160 "right" 2 2 1 251 "circus" "cirkel" "pic" "phonological" "related" "cirkel" "red" "circus_green.bmp" "green" 1042.3 0 0 0 0
