idv,iv,dv,exp
202,1,1.641450951,Biderman & Mudrik_2018_3
202,2,1.16987166,Biderman & Mudrik_2018_3
202,1,0.944333192,Biderman & Mudrik_2018_3
202,1,0.682110124,Biderman & Mudrik_2018_3
202,1,1.029812564,Biderman & Mudrik_2018_3
202,1,1.347666518,Biderman & Mudrik_2018_3
202,1,0.732143366,Biderman & Mudrik_2018_3
202,1,0.889298735,Biderman & Mudrik_2018_3
202,2,1.512560911,Biderman & Mudrik_2018_3
202,1,1.000977321,Biderman & Mudrik_2018_3
202,1,1.716035533,Biderman & Mudrik_2018_3
202,2,1.665838643,Biderman & Mudrik_2018_3
202,2,1.005296292,Biderman & Mudrik_2018_3
202,1,1.064568753,Biderman & Mudrik_2018_3
202,1,1.238467442,Biderman & Mudrik_2018_3
202,2,1.342632802,Biderman & Mudrik_2018_3
202,1,1.257098976,Biderman & Mudrik_2018_3
202,2,1.066569011,Biderman & Mudrik_2018_3
202,1,1.539485703,Biderman & Mudrik_2018_3
202,1,1.301175351,Biderman & Mudrik_2018_3
202,1,1.56607921,Biderman & Mudrik_2018_3
202,2,2.777236406,Biderman & Mudrik_2018_3
202,2,1.147898475,Biderman & Mudrik_2018_3
202,2,1.441578847,Biderman & Mudrik_2018_3
202,1,1.183197778,Biderman & Mudrik_2018_3
202,2,1.974922082,Biderman & Mudrik_2018_3
202,2,1.130683885,Biderman & Mudrik_2018_3
202,2,0.804777583,Biderman & Mudrik_2018_3
202,1,1.85179989,Biderman & Mudrik_2018_3
202,1,1.56546425,Biderman & Mudrik_2018_3
202,1,1.040452476,Biderman & Mudrik_2018_3
202,2,0.853667291,Biderman & Mudrik_2018_3
202,2,1.446295532,Biderman & Mudrik_2018_3
202,1,0.97763851,Biderman & Mudrik_2018_3
202,2,1.20007481,Biderman & Mudrik_2018_3
202,2,1.188806254,Biderman & Mudrik_2018_3
202,1,1.081256764,Biderman & Mudrik_2018_3
202,2,1.152962696,Biderman & Mudrik_2018_3
202,2,1.974094154,Biderman & Mudrik_2018_3
202,1,1.473191244,Biderman & Mudrik_2018_3
202,1,0.791059452,Biderman & Mudrik_2018_3
202,2,1.45761512,Biderman & Mudrik_2018_3
202,2,1.526979246,Biderman & Mudrik_2018_3
202,1,1.347301876,Biderman & Mudrik_2018_3
202,2,2.000491511,Biderman & Mudrik_2018_3
202,2,1.749600861,Biderman & Mudrik_2018_3
202,1,0.871752005,Biderman & Mudrik_2018_3
202,1,0.856297904,Biderman & Mudrik_2018_3
202,2,0.996743024,Biderman & Mudrik_2018_3
202,1,0.989638346,Biderman & Mudrik_2018_3
202,2,0.97651978,Biderman & Mudrik_2018_3
202,2,0.822922737,Biderman & Mudrik_2018_3
202,2,1.62752869,Biderman & Mudrik_2018_3
202,1,0.895164371,Biderman & Mudrik_2018_3
202,2,0.991091783,Biderman & Mudrik_2018_3
202,2,0.739036216,Biderman & Mudrik_2018_3
202,1,1.764895876,Biderman & Mudrik_2018_3
202,2,0.797763851,Biderman & Mudrik_2018_3
202,2,0.831553267,Biderman & Mudrik_2018_3
202,2,0.981162624,Biderman & Mudrik_2018_3
202,1,1.384837784,Biderman & Mudrik_2018_3
202,2,0.925216134,Biderman & Mudrik_2018_3
202,2,1.015570991,Biderman & Mudrik_2018_3
202,2,0.967516909,Biderman & Mudrik_2018_3
202,1,0.841927751,Biderman & Mudrik_2018_3
202,2,0.915741139,Biderman & Mudrik_2018_3
202,1,1.469590152,Biderman & Mudrik_2018_3
202,2,0.810671443,Biderman & Mudrik_2018_3
202,2,0.682618171,Biderman & Mudrik_2018_3
202,1,1.53573522,Biderman & Mudrik_2018_3
202,2,0.887559058,Biderman & Mudrik_2018_3
