"","idv","iv","iv2","dv","exp"
"215",503,"DegradedProc",1,779,"Yap_etal_2008"
"216",503,"CleanProc",1,786,"Yap_etal_2008"
"217",503,"CleanProc",1,788,"Yap_etal_2008"
"218",503,"DegradedProc",1,794,"Yap_etal_2008"
"219",503,"CleanProc",1,799,"Yap_etal_2008"
"220",503,"CleanProc",1,803,"Yap_etal_2008"
"221",503,"DegradedProc",1,807,"Yap_etal_2008"
"222",503,"CleanProc",1,813,"Yap_etal_2008"
"223",503,"CleanProc",1,818,"Yap_etal_2008"
"224",503,"CleanProc",1,830,"Yap_etal_2008"
"225",503,"DegradedProc",1,834,"Yap_etal_2008"
"226",503,"DegradedProc",1,844,"Yap_etal_2008"
"227",503,"DegradedProc",1,850,"Yap_etal_2008"
"228",503,"DegradedProc",1,859,"Yap_etal_2008"
"229",503,"CleanProc",1,860,"Yap_etal_2008"
"230",503,"DegradedProc",1,860,"Yap_etal_2008"
"231",503,"DegradedProc",1,862,"Yap_etal_2008"
"232",503,"DegradedProc",1,884,"Yap_etal_2008"
"233",503,"CleanProc",1,888,"Yap_etal_2008"
"234",503,"DegradedProc",1,928,"Yap_etal_2008"
"235",503,"DegradedProc",1,939,"Yap_etal_2008"
"236",503,"DegradedProc",1,961,"Yap_etal_2008"
"237",503,"CleanProc",1,972,"Yap_etal_2008"
"238",503,"DegradedProc",1,973,"Yap_etal_2008"
"239",503,"CleanProc",1,981,"Yap_etal_2008"
"240",503,"CleanProc",1,991,"Yap_etal_2008"
"241",503,"DegradedProc",1,993,"Yap_etal_2008"
"242",503,"CleanProc",1,1007,"Yap_etal_2008"
"243",503,"DegradedProc",1,1011,"Yap_etal_2008"
"244",503,"DegradedProc",1,1051,"Yap_etal_2008"
"245",503,"DegradedProc",1,1075,"Yap_etal_2008"
"246",503,"DegradedProc",1,1081,"Yap_etal_2008"
"247",503,"DegradedProc",1,1082,"Yap_etal_2008"
"248",503,"DegradedProc",1,1088,"Yap_etal_2008"
"249",503,"DegradedProc",1,1099,"Yap_etal_2008"
"250",503,"CleanProc",1,1133,"Yap_etal_2008"
"251",503,"DegradedProc",1,1139,"Yap_etal_2008"
"252",503,"DegradedProc",1,1139,"Yap_etal_2008"
"253",503,"DegradedProc",1,1162,"Yap_etal_2008"
"254",503,"DegradedProc",1,1163,"Yap_etal_2008"
"255",503,"DegradedProc",1,1174,"Yap_etal_2008"
"256",503,"CleanProc",1,1190,"Yap_etal_2008"
"257",503,"DegradedProc",1,1191,"Yap_etal_2008"
"258",503,"CleanProc",1,1192,"Yap_etal_2008"
"259",503,"CleanProc",1,1265,"Yap_etal_2008"
"260",503,"DegradedProc",1,1284,"Yap_etal_2008"
"261",503,"CleanProc",1,1291,"Yap_etal_2008"
"262",503,"DegradedProc",1,1307,"Yap_etal_2008"
"263",503,"DegradedProc",1,1390,"Yap_etal_2008"
"264",503,"CleanProc",1,1489,"Yap_etal_2008"
"265",503,"CleanProc",1,1586,"Yap_etal_2008"
"266",503,"DegradedProc",1,1752,"Yap_etal_2008"
"267",503,"DegradedProc",1,1762,"Yap_etal_2008"
