Subject,ldtfreq,Procedure,word_NW,Target.ACC,Target.RT,border,z,,,
503,1,DegradedProc,1,1,794,1,-0.525850129,,,
503,1,CleanProc,1,1,799,1,-0.514704306,,,
503,1,CleanProc,1,1,803,1,-0.505787647,,,
503,1,DegradedProc,1,1,807,1,-0.496870989,,,
503,1,CleanProc,1,1,813,1,-0.483496002,,,
503,1,CleanProc,1,1,818,1,-0.472350179,,,
503,1,CleanProc,1,1,830,1,-0.445600203,,,
503,1,DegradedProc,1,1,834,1,-0.436683545,,,
503,1,DegradedProc,1,1,844,1,-0.414391899,,,
503,1,DegradedProc,1,1,850,1,-0.401016912,,,
503,1,DegradedProc,1,1,859,1,-0.38095443,,,
503,1,CleanProc,1,1,860,1,-0.378725266,,,
503,1,DegradedProc,1,1,860,1,-0.378725266,,,
503,1,DegradedProc,1,1,862,1,-0.374266936,,,
503,1,DegradedProc,1,1,884,1,-0.325225315,,,
503,1,CleanProc,1,1,888,1,-0.316308657,,,
503,1,DegradedProc,1,1,928,1,-0.227142073,,,
503,1,DegradedProc,1,1,939,1,-0.202621263,,,
503,1,DegradedProc,1,1,961,1,-0.153579642,,,
503,1,CleanProc,1,1,972,1,-0.129058831,,,
503,1,DegradedProc,1,1,973,1,-0.126829667,,,
503,1,CleanProc,1,1,981,1,-0.10899635,,,
503,1,CleanProc,1,1,991,1,-0.086704704,,,
503,1,DegradedProc,1,1,993,1,-0.082246375,,,
503,1,CleanProc,1,1,1007,1,-0.051038071,,,
503,1,DegradedProc,1,1,1011,1,-0.042121412,,,
503,1,DegradedProc,1,1,1051,1,0.047045171,,,
503,1,DegradedProc,1,1,1075,1,0.100545122,,,
503,1,DegradedProc,1,1,1081,1,0.113920109,,,
503,1,DegradedProc,1,1,1082,1,0.116149274,,,
503,1,DegradedProc,1,1,1088,1,0.129524261,,,
503,1,DegradedProc,1,1,1099,1,0.154045072,,,
503,1,CleanProc,1,1,1133,1,0.229836668,,,
503,1,DegradedProc,1,1,1139,1,0.243211656,,,
503,1,DegradedProc,1,1,1139,1,0.243211656,,,
503,1,DegradedProc,1,1,1162,1,0.294482441,,,
503,1,DegradedProc,1,1,1163,1,0.296711606,,,
503,1,DegradedProc,1,1,1174,1,0.321232416,,,
503,1,CleanProc,1,1,1190,1,0.35689905,,,
503,1,DegradedProc,1,1,1191,1,0.359128214,,,
503,1,CleanProc,1,1,1192,1,0.361357379,,,
503,1,CleanProc,1,1,1265,1,0.524086394,,,
503,1,DegradedProc,1,1,1284,1,0.566440521,,,
503,1,CleanProc,1,1,1291,1,0.582044674,,,
503,1,DegradedProc,1,1,1307,1,0.617711307,,,
503,1,DegradedProc,1,1,1390,1,0.802731968,,,
503,1,CleanProc,1,1,1489,1,1.023419263,,,
503,1,CleanProc,1,1,1586,1,1.239648228,,,
503,1,DegradedProc,1,1,1752,1,1.609689551,,,
503,1,DegradedProc,1,1,1762,1,1.631981196,,,
503,1,DegradedProc,1,1,2058,1,2.291813916,,,
503,1,DegradedProc,1,1,2141,1,2.476834577,,,
504,1,CleanProc,1,1,532,1,-0.990628002,,,
504,1,CleanProc,1,1,543,1,-0.970565798,,,
504,1,CleanProc,1,1,544,1,-0.968741961,,,
504,1,CleanProc,1,1,576,1,-0.910379185,,,
504,1,CleanProc,1,1,581,1,-0.901260001,,,
504,1,CleanProc,1,1,583,1,-0.897612328,,,
504,1,CleanProc,1,1,590,1,-0.88484547,,,
504,1,CleanProc,1,1,595,1,-0.875726287,,,
504,1,CleanProc,1,1,602,1,-0.862959429,,,
504,1,CleanProc,1,1,619,1,-0.831954205,,,
504,1,DegradedProc,1,1,619,1,-0.831954205,,,
504,1,CleanProc,1,1,622,1,-0.826482694,,,
504,1,CleanProc,1,1,628,1,-0.815539674,,,
504,1,DegradedProc,1,1,634,1,-0.804596653,,,
504,1,CleanProc,1,1,635,1,-0.802772817,,,
504,1,DegradedProc,1,1,644,1,-0.786358286,,,
504,1,CleanProc,1,1,648,1,-0.779062939,,,
504,1,CleanProc,1,1,651,1,-0.773591428,,,
504,1,CleanProc,1,1,652,1,-0.771767592,,,
504,1,DegradedProc,1,1,652,1,-0.771767592,,,
504,1,DegradedProc,1,1,658,1,-0.760824571,,,
504,1,CleanProc,1,1,665,1,-0.748057714,,,
504,1,CleanProc,1,1,668,1,-0.742586204,,,
504,1,CleanProc,1,1,680,1,-0.720700163,,,
504,1,CleanProc,1,1,682,1,-0.717052489,,,
504,1,DegradedProc,1,1,682,1,-0.717052489,,,
504,1,CleanProc,1,1,688,1,-0.706109469,,,
504,1,DegradedProc,1,1,689,1,-0.704285632,,,
504,1,CleanProc,1,1,708,1,-0.669632734,,,
504,1,CleanProc,1,1,711,1,-0.664161223,,,
504,1,CleanProc,1,1,719,1,-0.649570529,,,
504,1,CleanProc,1,1,720,1,-0.647746692,,,
504,1,CleanProc,1,1,723,1,-0.642275182,,,
504,1,CleanProc,1,1,724,1,-0.640451345,,,
504,1,CleanProc,1,1,724,1,-0.640451345,,,
504,1,DegradedProc,1,1,725,1,-0.638627509,,,
504,1,DegradedProc,1,1,728,1,-0.633155998,,,
504,1,DegradedProc,1,1,737,1,-0.616741468,,,
504,1,DegradedProc,1,1,748,1,-0.596679263,,,
504,1,CleanProc,1,1,749,1,-0.594855427,,,
504,1,DegradedProc,1,1,757,1,-0.580264733,,,
504,1,CleanProc,1,1,762,1,-0.571145549,,,
504,1,DegradedProc,1,1,765,1,-0.565674039,,,
504,1,DegradedProc,1,1,767,1,-0.562026365,,,
504,1,DegradedProc,1,1,769,1,-0.558378692,,,
504,1,CleanProc,1,1,771,1,-0.554731018,,,
504,1,DegradedProc,1,1,774,1,-0.549259508,,,
504,1,CleanProc,1,1,775,1,-0.547435671,,,
504,1,CleanProc,1,1,787,1,-0.52554963,,,
504,1,CleanProc,1,1,790,1,-0.52007812,,,
504,1,DegradedProc,1,1,794,1,-0.512782773,,,
504,1,CleanProc,1,1,819,1,-0.467186854,,,
504,1,CleanProc,1,1,833,1,-0.441653139,,,
504,1,DegradedProc,1,1,883,1,-0.350461302,,,
504,1,DegradedProc,1,1,884,1,-0.348637465,,,
504,1,DegradedProc,1,1,894,1,-0.330399097,,,
504,1,CleanProc,1,1,895,1,-0.328575261,,,
504,1,CleanProc,1,1,897,1,-0.324927587,,,
504,1,DegradedProc,1,1,932,1,-0.261093301,,,
504,1,CleanProc,1,1,951,1,-0.226440402,,,
504,1,DegradedProc,1,1,965,1,-0.200906688,,,
504,1,DegradedProc,1,1,966,1,-0.199082851,,,
504,1,DegradedProc,1,1,987,1,-0.160782279,,,
504,1,DegradedProc,1,1,1001,1,-0.135248565,,,
504,1,CleanProc,1,1,1007,1,-0.124305544,,,
504,1,CleanProc,1,1,1049,1,-0.047704401,,,
504,1,DegradedProc,1,1,1071,1,-0.007579992,,,
504,1,CleanProc,1,1,1074,1,-0.002108482,,,
504,1,DegradedProc,1,1,1090,1,0.027072906,,,
504,1,CleanProc,1,1,1092,1,0.03072058,,,
504,1,DegradedProc,1,1,1127,1,0.094554866,,,
504,1,CleanProc,1,1,1131,1,0.101850213,,,
504,1,DegradedProc,1,1,1147,1,0.131031601,,,
504,1,CleanProc,1,1,1163,1,0.160212989,,,
504,1,DegradedProc,1,1,1202,1,0.231342623,,,
504,1,DegradedProc,1,1,1211,1,0.247757153,,,
504,1,DegradedProc,1,1,1220,1,0.264171684,,,
504,1,DegradedProc,1,1,1234,1,0.289705399,,,
504,1,DegradedProc,1,1,1250,1,0.318886787,,,
504,1,DegradedProc,1,1,1272,1,0.359011195,,,
504,1,DegradedProc,1,1,1273,1,0.360835032,,,
504,1,DegradedProc,1,1,1283,1,0.3790734,,,
504,1,DegradedProc,1,1,1299,1,0.408254788,,,
504,1,CleanProc,1,1,1396,1,0.585166953,,,
504,1,DegradedProc,1,1,1403,1,0.59793381,,,
504,1,DegradedProc,1,1,1502,1,0.778493649,,,
504,1,DegradedProc,1,1,1554,1,0.87333316,,,
504,1,CleanProc,1,1,1636,1,1.022887774,,,
504,1,DegradedProc,1,1,1706,1,1.150556346,,,
504,1,DegradedProc,1,1,1858,1,1.427779533,,,
504,1,DegradedProc,1,1,1871,1,1.451489411,,,
505,1,CleanProc,1,1,445,1,-0.904216118,,,
505,1,CleanProc,1,1,456,1,-0.865873259,,,
505,1,DegradedProc,1,1,460,1,-0.851930401,,,
505,1,DegradedProc,1,1,464,1,-0.837987543,,,
505,1,CleanProc,1,1,473,1,-0.806616113,,,
505,1,CleanProc,1,1,475,1,-0.799644684,,,
505,1,CleanProc,1,1,483,1,-0.771758968,,,
505,1,CleanProc,1,1,483,1,-0.771758968,,,
505,1,DegradedProc,1,1,485,1,-0.76478754,,,
505,1,CleanProc,1,1,495,1,-0.729930395,,,
505,1,CleanProc,1,1,496,1,-0.72644468,,,
505,1,CleanProc,1,1,496,1,-0.72644468,,,
505,1,CleanProc,1,1,497,1,-0.722958966,,,
505,1,CleanProc,1,1,505,1,-0.69507325,,,
505,1,DegradedProc,1,1,505,1,-0.69507325,,,
505,1,CleanProc,1,1,510,1,-0.677644678,,,
505,1,CleanProc,1,1,512,1,-0.670673249,,,
505,1,DegradedProc,1,1,512,1,-0.670673249,,,
505,1,CleanProc,1,1,513,1,-0.667187534,,,
505,1,CleanProc,1,1,519,1,-0.646273248,,,
505,1,DegradedProc,1,1,523,1,-0.63233039,,,
505,1,DegradedProc,1,1,523,1,-0.63233039,,,
505,1,CleanProc,1,1,537,1,-0.583530387,,,
505,1,CleanProc,1,1,544,1,-0.559130386,,,
505,1,CleanProc,1,1,550,1,-0.538216099,,,
505,1,DegradedProc,1,1,556,1,-0.517301812,,,
505,1,CleanProc,1,1,560,1,-0.503358955,,,
505,1,DegradedProc,1,1,563,1,-0.492901811,,,
505,1,DegradedProc,1,1,565,1,-0.485930382,,,
505,1,DegradedProc,1,1,566,1,-0.482444668,,,
505,1,CleanProc,1,1,567,1,-0.478958953,,,
505,1,CleanProc,1,1,571,1,-0.465016095,,,
505,1,CleanProc,1,1,576,1,-0.447587523,,,
505,1,CleanProc,1,1,579,1,-0.43713038,,,
505,1,CleanProc,1,1,580,1,-0.433644665,,,
505,1,CleanProc,1,1,584,1,-0.419701807,,,
505,1,DegradedProc,1,1,586,1,-0.412730378,,,
505,1,CleanProc,1,1,593,1,-0.388330377,,,
505,1,CleanProc,1,1,594,1,-0.384844663,,,
505,1,CleanProc,1,1,597,1,-0.374387519,,,
505,1,CleanProc,1,1,601,1,-0.360444661,,,
505,1,CleanProc,1,1,601,1,-0.360444661,,,
505,1,DegradedProc,1,1,603,1,-0.353473233,,,
505,1,CleanProc,1,1,607,1,-0.339530375,,,
505,1,CleanProc,1,1,613,1,-0.318616088,,,
505,1,CleanProc,1,1,620,1,-0.294216087,,,
505,1,CleanProc,1,1,622,1,-0.287244658,,,
505,1,CleanProc,1,1,631,1,-0.255873228,,,
505,1,CleanProc,1,1,631,1,-0.255873228,,,
505,1,DegradedProc,1,1,634,1,-0.245416084,,,
505,1,CleanProc,1,1,638,1,-0.231473226,,,
505,1,DegradedProc,1,1,638,1,-0.231473226,,,
505,1,DegradedProc,1,1,640,1,-0.224501797,,,
505,1,CleanProc,1,1,642,1,-0.217530368,,,
505,1,DegradedProc,1,1,651,1,-0.186158938,,,
505,1,CleanProc,1,1,654,1,-0.175701795,,,
505,1,DegradedProc,1,1,656,1,-0.168730366,,,
505,1,CleanProc,1,1,660,1,-0.154787508,,,
505,1,CleanProc,1,1,668,1,-0.126901792,,,
505,1,DegradedProc,1,1,668,1,-0.126901792,,,
505,1,CleanProc,1,1,671,1,-0.116444649,,,
505,1,DegradedProc,1,1,689,1,-0.053701788,,,
505,1,DegradedProc,1,1,693,1,-0.039758931,,,
505,1,DegradedProc,1,1,695,1,-0.032787502,,,
505,1,CleanProc,1,1,707,1,0.009041072,,,
505,1,CleanProc,1,1,712,1,0.026469644,,,
505,1,DegradedProc,1,1,721,1,0.057841074,,,
505,1,DegradedProc,1,1,724,1,0.068298218,,,
505,1,DegradedProc,1,1,725,1,0.071783932,,,
505,1,CleanProc,1,1,735,1,0.106641077,,,
505,1,DegradedProc,1,1,743,1,0.134526793,,,
505,1,DegradedProc,1,1,743,1,0.134526793,,,
505,1,DegradedProc,1,1,776,1,0.24955537,,,
505,1,DegradedProc,1,1,781,1,0.266983942,,,
505,1,DegradedProc,1,1,798,1,0.326241088,,,
505,1,DegradedProc,1,1,805,1,0.35064109,,,
505,1,DegradedProc,1,1,808,1,0.361098233,,,
505,1,DegradedProc,1,1,813,1,0.378526805,,,
505,1,DegradedProc,1,1,832,1,0.44475538,,,
505,1,DegradedProc,1,1,834,1,0.451726809,,,
505,1,DegradedProc,1,1,887,1,0.636469676,,,
505,1,DegradedProc,1,1,891,1,0.650412534,,,
505,1,CleanProc,1,1,1066,1,1.260412565,,,
505,1,DegradedProc,1,1,1112,1,1.420755431,,,
505,1,DegradedProc,1,1,1134,1,1.497441149,,,
