"","Subject","correctResponseButton","responseHand","StimulusColor","SubTrial","ColorMasked","Confidence.RESP","correctRT","GrayMasked","leftMask","leftStimulus","Number","NumberResponse","Response.RESP","ResponseAccuracy","rightMask","rightStimulus","virhe","virhe.edellinen"
"4171","9",6,"right","Blue",11,0,4,434,1,1,0,"1",1,1,1,0,1,0,0
"4187","9",6,"right","Red",7,1,4,222,0,0,1,"2",1,1,0,1,1,0,0
"4195","9",6,"right","Red",15,0,4,265,1,0,1,"1",1,1,1,1,0,0,0
"4208","9",6,"right","Blue",8,0,4,228,1,0,1,"1",1,1,1,1,0,0,0
"4235","9",6,"right","Red",15,0,4,225,1,0,1,"1",1,1,1,1,0,0,0
"4237","9",6,"right","Red",17,0,4,250,1,1,0,"1",1,1,1,0,1,0,0
"4242","9",6,"right","Blue",2,0,4,265,1,1,0,"1",1,1,1,0,1,0,0
"4255","9",6,"right","Blue",15,0,4,269,1,0,1,"1",1,1,1,1,0,0,0
"4256","9",6,"right","Blue",16,1,4,221,0,1,1,"2",1,1,0,0,1,0,0
"4273","9",6,"right","Red",13,0,4,355,1,1,0,"1",1,1,1,0,1,0,0
"4279","9",6,"right","Red",19,0,4,284,1,0,1,"1",1,1,1,1,0,0,0
"4288","9",6,"right","Blue",8,0,4,265,1,0,1,"1",1,1,1,1,0,0,0
"4289","9",6,"right","Blue",9,0,4,326,1,1,0,"1",1,1,1,0,1,0,0
"4294","9",6,"right","Blue",14,1,4,259,0,1,1,"2",1,1,0,0,1,0,0
"4301","9",6,"right","Red",1,0,4,313,1,1,0,"1",1,1,1,0,1,0,NA
"4313","9",6,"right","Red",13,0,4,224,1,0,1,"1",1,1,1,1,0,0,0
"4347","10",5,"left","Red",7,0,4,409,1,1,0,"1",1,1,1,0,1,0,0
"4350","10",5,"left","Red",10,1,4,288,0,1,1,"2",1,1,0,0,1,0,0
"4351","10",5,"left","Red",11,1,4,289,0,0,1,"2",1,1,0,1,1,0,0
"4352","10",5,"left","Red",12,1,4,319,0,1,1,"2",1,1,0,0,1,0,0
"4355","10",5,"left","Red",15,0,4,302,1,0,1,"1",1,1,1,1,0,0,0
"4365","10",5,"left","Blue",5,1,4,303,0,0,1,"2",1,1,0,1,1,0,0
"4372","10",5,"left","Blue",12,0,4,231,1,0,1,"1",1,1,1,1,0,0,0
"4381","10",5,"left","Red",1,1,4,263,0,1,1,"2",1,1,0,0,1,0,NA
"4388","10",5,"left","Red",8,0,4,247,1,0,1,"1",1,1,1,1,0,0,0
"4406","10",5,"left","Blue",6,1,4,281,0,0,1,"2",1,1,0,1,1,0,0
"4413","10",5,"left","Blue",13,0,4,264,1,0,1,"1",1,1,1,1,0,0,0
"4417","10",5,"left","Blue",17,1,4,238,0,0,1,"2",1,1,0,1,1,0,0
"4424","10",5,"left","Red",4,0,4,266,1,1,0,"1",1,1,1,0,1,0,0
"4430","10",5,"left","Red",10,1,4,299,0,0,1,"2",1,1,0,1,1,0,0
"4436","10",5,"left","Red",16,0,4,284,1,0,1,"1",1,1,1,1,0,0,0
"4441","10",5,"left","Blue",1,0,4,338,1,1,0,"1",1,1,1,0,1,0,NA
"4444","10",5,"left","Blue",4,1,4,300,0,1,1,"2",1,1,0,0,1,0,0
"4445","10",5,"left","Blue",5,1,4,236,0,1,1,"2",1,1,0,0,1,0,0
"4452","10",5,"left","Blue",12,1,4,350,0,0,1,"2",1,1,0,1,1,0,0
"4453","10",5,"left","Blue",13,0,4,322,1,0,1,"1",1,1,1,1,0,0,0
"4465","10",5,"left","Red",5,1,4,238,0,0,1,"2",1,1,0,1,1,0,0
"4470","10",5,"left","Red",10,0,4,346,1,0,1,"1",1,1,1,1,0,0,0
"4476","10",5,"left","Red",16,0,4,294,1,1,0,"1",1,1,1,0,1,0,0
"4485","10",5,"left","Blue",5,0,4,246,1,0,1,"1",1,1,1,1,0,0,0
"4502","10",5,"left","Red",2,0,4,266,1,0,1,"1",1,1,1,1,0,0,0
"4505","10",5,"left","Red",5,1,4,289,0,0,1,"2",1,1,0,1,1,0,0
"4522","10",5,"left","Blue",2,0,4,280,1,1,0,"1",1,1,1,0,1,0,0
"4524","10",5,"left","Blue",4,1,4,224,0,0,1,"2",1,1,0,1,1,0,0
"4530","10",5,"left","Blue",10,0,4,318,1,0,1,"1",1,1,1,1,0,0,0
"4550","10",5,"left","Red",10,0,4,262,1,0,1,"1",1,1,1,1,0,0,0
"4560","10",5,"left","Red",20,1,4,240,0,1,1,"2",1,1,0,0,1,0,0
"4567","10",6,"right","Blue",7,1,4,220,0,0,1,"2",1,1,0,1,1,0,0
"4576","10",6,"right","Blue",16,1,4,272,0,0,1,"2",1,1,0,1,1,0,0
"4578","10",6,"right","Blue",18,0,4,252,1,1,0,"1",1,1,1,0,1,0,0
"4580","10",6,"right","Blue",20,0,4,230,1,0,1,"1",1,1,1,1,0,0,1
"4593","10",6,"right","Red",13,1,4,272,0,0,1,"2",1,1,0,1,1,0,0
"4597","10",6,"right","Red",17,0,4,316,1,0,1,"1",1,1,1,1,0,0,0
"4599","10",6,"right","Red",19,0,4,303,1,1,0,"1",1,1,1,0,1,0,0
"4606","10",6,"right","Blue",6,0,4,198,1,1,0,"1",1,1,1,0,1,0,0
"4619","10",6,"right","Blue",19,0,4,310,1,0,1,"1",1,1,1,1,0,0,0
"4629","10",6,"right","Red",9,1,4,237,0,0,1,"2",1,1,0,1,1,0,0
"4631","10",6,"right","Red",11,1,4,268,0,1,1,"2",1,1,0,0,1,0,0
"4632","10",6,"right","Red",12,0,4,229,1,0,1,"1",1,1,1,1,0,0,0
"4644","10",6,"right","Blue",4,0,4,284,1,0,1,"1",1,1,1,1,0,0,1
"4659","10",6,"right","Blue",19,0,4,264,1,1,0,"1",1,1,1,0,1,0,0
"4670","10",6,"right","Red",10,1,4,300,0,0,1,"2",1,1,0,1,1,0,0
"4676","10",6,"right","Red",16,0,4,232,1,0,1,"1",1,1,1,1,0,0,0
"4692","10",6,"right","Blue",12,0,4,306,1,1,0,"1",1,1,1,0,1,0,0
"4696","10",6,"right","Blue",16,0,4,264,1,0,1,"1",1,1,1,1,0,0,1
"4703","10",6,"right","Red",3,0,4,220,1,0,1,"1",1,1,1,1,0,0,0
"4714","10",6,"right","Red",14,1,4,282,0,1,1,"2",1,1,0,0,1,0,0
"4719","10",6,"right","Red",19,0,4,271,1,1,0,"1",1,1,1,0,1,0,0
"4726","10",6,"right","Blue",6,0,4,301,1,0,1,"1",1,1,1,1,0,0,0
"4732","10",6,"right","Blue",12,0,4,370,1,1,0,"1",1,1,1,0,1,0,0
"4734","10",6,"right","Blue",14,1,4,290,0,1,1,"2",1,1,0,0,1,0,0
"4740","10",6,"right","Blue",20,1,4,234,0,0,1,"2",1,1,0,1,1,0,0
"4751","10",6,"right","Red",11,1,4,301,0,0,1,"2",1,1,0,1,1,0,0
"4755","10",6,"right","Red",15,1,4,267,0,0,1,"2",1,1,0,1,1,0,0
"4756","10",6,"right","Red",16,0,4,242,1,0,1,"1",1,1,1,1,0,0,0
"4769","10",6,"right","Blue",9,0,4,248,1,0,1,"1",1,1,1,1,0,0,0
"4771","10",6,"right","Blue",11,1,4,317,0,0,1,"2",1,1,0,1,1,0,0
"4777","10",6,"right","Blue",17,0,4,309,1,1,0,"1",1,1,1,0,1,0,0
"4778","10",6,"right","Blue",18,1,4,298,0,1,1,"2",1,1,0,0,1,0,0
"4783","10",6,"right","Red",3,1,4,311,0,0,1,"2",1,1,0,1,1,0,0
"4788","10",6,"right","Red",8,0,4,345,1,0,1,"1",1,1,1,1,0,0,0
"4796","10",6,"right","Red",16,0,4,274,1,1,0,"1",1,1,1,0,1,0,0
"4815","11",6,"right","Red",15,0,4,679,1,1,0,"1",1,1,1,0,1,0,0
"4818","11",6,"right","Red",18,0,4,657,1,0,1,"1",1,1,1,1,0,0,0
"4821","11",6,"right","Blue",1,0,4,537,1,0,1,"1",1,1,1,1,0,0,NA
"4848","11",6,"right","Red",8,0,4,660,1,0,1,"1",1,1,1,1,0,0,0
"4859","11",6,"right","Red",19,0,4,295,1,1,0,"1",1,1,1,0,1,0,0
"4861","11",6,"right","Blue",1,1,4,388,0,0,1,"2",1,1,0,1,1,0,NA
"4868","11",6,"right","Blue",8,0,4,224,1,0,1,"1",1,1,1,1,0,0,0
"4880","11",6,"right","Blue",20,0,4,372,1,1,0,"1",1,1,1,0,1,0,0
"4881","11",6,"right","Red",1,0,4,618,1,0,1,"1",1,1,1,1,0,0,NA
"4894","11",6,"right","Red",14,1,4,390,0,0,1,"2",1,1,0,1,1,0,0
"4906","11",6,"right","Blue",6,0,4,316,1,0,1,"1",1,1,1,1,0,0,0
"4913","11",6,"right","Blue",13,0,4,443,1,1,0,"1",1,1,1,0,1,0,0
"4934","11",6,"right","Red",14,0,4,573,1,0,1,"1",1,1,1,1,0,0,0
"4944","11",6,"right","Blue",4,1,4,675,0,1,1,"2",1,1,0,0,1,0,0
"4950","11",6,"right","Blue",10,1,4,551,0,0,1,"2",1,1,0,1,1,0,0
"4952","11",6,"right","Blue",12,0,4,265,1,1,0,"1",1,1,1,0,1,0,0
"4953","11",6,"right","Blue",13,1,4,256,0,1,1,"2",1,1,0,0,1,0,0
"4954","11",6,"right","Blue",14,0,4,255,1,0,1,"1",1,1,1,1,0,0,0
"4962","11",6,"right","Red",2,1,4,668,0,0,1,"2",1,1,0,1,1,0,0
"4964","11",6,"right","Red",4,1,4,407,0,1,1,"2",1,1,0,0,1,0,0
"4970","11",6,"right","Red",10,0,4,422,1,0,1,"1",1,1,1,1,0,0,0
"4982","11",6,"right","Blue",2,0,4,274,1,0,1,"1",1,1,1,1,0,0,0
"4992","11",6,"right","Blue",12,0,4,364,1,1,0,"1",1,1,1,0,1,0,0
"4999","11",6,"right","Blue",19,1,4,298,0,0,1,"2",1,1,0,1,1,0,0
"5022","11",6,"right","Blue",2,0,4,319,1,1,0,"1",1,1,1,0,1,0,0
"5025","11",6,"right","Blue",5,0,4,250,1,0,1,"1",1,1,1,1,0,0,0
"5027","11",6,"right","Blue",7,1,4,280,0,0,1,"2",1,1,0,1,1,0,0
