S#    Block   Trial       SOA   FlkPos  FlkCol  TarCol  OnLine    RT      MT    Distance
29E   	7   	28   	  50 	below 	red 	green 	Good 	0.397 	0.084 	9.559 	
29E   	7   	29   	  50 	above 	green 	green 	Good 	0.455 	0.095 	9.706 	
29E   	7   	30   	  50 	above 	red 	red 	Good 	0.375 	0.068 	7.941 	
29E   	7   	31   	  650 	below 	red 	red 	Good 	0.389 	0.071 	8.235 	
29E   	7   	32   	  50 	below 	green 	red 	Good 	0.376 	0.070 	7.353 	
29E   	8   	1   	  650 	below 	green 	red 	Good 	0.434 	0.100 	8.824 	
29E   	8   	2   	  650 	above 	green 	red 	Good 	0.356 	0.083 	8.676 	
29E   	8   	3   	  650 	below 	red 	green 	Good 	0.305 	0.108 	11.471 	
29E   	8   	5   	  350 	above 	green 	red 	Good 	0.426 	0.066 	8.529 	
29E   	8   	6   	  950 	above 	green 	red 	Good 	0.373 	0.068 	7.647 	
29E   	8   	7   	  50 	below 	green 	red 	Good 	0.595 	0.089 	8.824 	
29E   	8   	9   	  350 	above 	red 	red 	Good 	0.393 	0.073 	8.529 	
29E   	8   	10   	  950 	below 	green 	green 	Good 	0.394 	0.098 	11.471 	
29E   	8   	11   	  350 	below 	red 	green 	Good 	0.429 	0.099 	12.206 	
29E   	8   	14   	  950 	below 	red 	red 	Good 	0.355 	0.094 	8.971 	
29E   	8   	15   	  950 	above 	green 	green 	Good 	0.327 	0.111 	11.912 	
29E   	8   	16   	  50 	above 	green 	green 	Good 	0.492 	0.096 	12.353 	
29E   	8   	17   	  650 	above 	green 	green 	Good 	0.352 	0.094 	10.588 	
29E   	8   	18   	  650 	above 	red 	red 	Good 	0.345 	0.065 	8.235 	
29E   	8   	19   	  50 	below 	red 	red 	Good 	0.467 	0.071 	8.676 	
29E   	8   	20   	  50 	below 	green 	green 	Good 	0.399 	0.101 	9.559 	
29E   	8   	21   	  50 	above 	red 	green 	Good 	0.587 	0.103 	11.176 	
29E   	8   	22   	  950 	below 	green 	red 	Good 	0.315 	0.097 	9.265 	
29E   	8   	23   	  650 	above 	red 	green 	Good 	0.369 	0.110 	11.765 	
