S#    Block   Trial       SOA   FlkPos  FlkCol  TarCol  OnLine    RT      MT    Distance
22E   	9   	3   	  950 	above 	green 	red 	Good 	0.430 	0.104 	11.618 	
22E   	9   	4   	  50 	below 	green 	green 	Good 	0.375 	0.080 	11.029 	
22E   	9   	5   	  650 	below 	green 	red 	Good 	0.517 	0.116 	9.412 	
22E   	9   	6   	  650 	below 	green 	green 	Good 	0.371 	0.077 	8.971 	
22E   	9   	7   	  650 	above 	red 	green 	Good 	0.400 	0.072 	9.412 	
22E   	9   	8   	  50 	above 	red 	red 	Good 	0.534 	0.123 	10.735 	
22E   	9   	9   	  50 	below 	green 	red 	Good 	0.354 	0.069 	2.647 	
22E   	9   	10   	  950 	below 	green 	green 	Good 	0.522 	0.068 	9.706 	
22E   	9   	11   	  650 	above 	green 	red 	Good 	0.381 	0.117 	10.588 	
22E   	9   	13   	  950 	below 	red 	red 	Good 	0.509 	0.117 	10.588 	
22E   	9   	14   	  50 	below 	red 	green 	Good 	0.487 	0.066 	8.676 	
22E   	9   	15   	  350 	above 	green 	red 	Good 	0.508 	0.108 	7.500 	
22E   	9   	17   	  950 	below 	red 	green 	Good 	0.359 	0.077 	9.559 	
22E   	9   	18   	  950 	above 	green 	green 	Good 	0.295 	0.074 	8.529 	
22E   	9   	19   	  50 	below 	red 	red 	Good 	0.567 	0.130 	12.500 	
22E   	9   	20   	  350 	above 	red 	green 	Good 	0.419 	0.071 	8.235 	
22E   	9   	21   	  950 	above 	red 	red 	Good 	0.358 	0.105 	10.000 	
22E   	9   	22   	  50 	above 	green 	green 	Good 	0.485 	0.085 	8.529 	
22E   	9   	24   	  350 	below 	red 	red 	Good 	0.321 	0.078 	4.559 	
22E   	9   	25   	  50 	above 	green 	red 	Good 	0.628 	0.123 	10.294 	
22E   	9   	26   	  650 	below 	red 	red 	Good 	0.398 	0.101 	11.618 	
22E   	9   	27   	  950 	above 	red 	green 	Good 	0.332 	0.071 	10.588 	
22E   	9   	28   	  350 	above 	green 	green 	Good 	0.423 	0.074 	7.059 	
22E   	9   	29   	  350 	below 	green 	green 	Good 	0.427 	0.069 	6.324 	
22E   	9   	30   	  950 	below 	green 	red 	Good 	0.517 	0.108 	10.294 	
22E   	9   	32   	  650 	below 	red 	green 	Good 	0.413 	0.068 	6.176 	
22E   	10   	1   	  350 	below 	green 	red 	Good 	0.482 	0.135 	15.882 	
22E   	10   	2   	  50 	above 	red 	green 	Good 	0.654 	0.076 	11.471 	
22E   	10   	3   	  350 	above 	red 	red 	Good 	0.402 	0.132 	10.882 	
22E   	10   	4   	  650 	above 	green 	green 	Good 	0.478 	0.073 	11.324 	
22E   	10   	5   	  650 	below 	red 	green 	Good 	0.400 	0.067 	9.853 	
22E   	10   	7   	  950 	below 	green 	red 	Good 	0.419 	0.110 	10.294 	
22E   	10   	8   	  950 	above 	red 	red 	Good 	0.376 	0.126 	8.971 	
22E   	10   	9   	  650 	below 	green 	green 	Good 	0.319 	0.081 	15.000 	
22E   	10   	10   	  950 	below 	red 	green 	Good 	0.474 	0.070 	9.706 	
22E   	10   	11   	  950 	above 	red 	green 	Good 	0.392 	0.078 	12.353 	
22E   	10   	13   	  50 	above 	green 	green 	Good 	0.542 	0.073 	9.559 	
22E   	10   	14   	  950 	above 	green 	red 	Good 	0.321 	0.128 	13.088 	
22E   	10   	15   	  350 	below 	green 	green 	Good 	0.450 	0.066 	11.029 	
22E   	10   	16   	  350 	above 	green 	green 	Good 	0.324 	0.071 	8.529 	
22E   	10   	18   	  50 	below 	red 	red 	Good 	0.521 	0.130 	12.794 	
22E   	10   	19   	  350 	above 	green 	red 	Good 	0.494 	0.093 	12.059 	
22E   	10   	20   	  950 	below 	green 	green 	Good 	0.357 	0.067 	8.824 	
22E   	10   	21   	  50 	above 	green 	red 	Good 	0.896 	0.133 	13.529 	
22E   	10   	22   	  650 	below 	green 	red 	Good 	0.432 	0.115 	10.588 	
22E   	10   	23   	  50 	below 	green 	red 	Good 	0.609 	0.107 	8.676 	
22E   	10   	24   	  950 	below 	red 	red 	Good 	0.471 	0.118 	10.735 	
22E   	10   	25   	  650 	above 	red 	red 	Good 	0.467 	0.113 	10.294 	
22E   	10   	26   	  350 	below 	red 	red 	Good 	0.370 	0.113 	9.706 	
22E   	10   	27   	  650 	above 	green 	red 	Good 	0.461 	0.096 	12.941 	
22E   	10   	28   	  650 	above 	red 	green 	Good 	0.366 	0.074 	8.235 	
