S#    Block   Trial       SOA   FlkPos  FlkCol  TarCol  OnLine    RT      MT    Distance
34e   	7   	12   	  950 	above 	green 	red 	Good 	0.336 	0.075 	9.706 	
34e   	7   	13   	  350 	below 	green 	green 	Good 	0.402 	0.122 	10.294 	
34e   	7   	14   	  350 	above 	red 	green 	Good 	0.454 	0.107 	9.265 	
34e   	7   	15   	  950 	below 	green 	red 	Good 	0.368 	0.078 	12.059 	
34e   	7   	16   	  950 	above 	red 	green 	Good 	0.440 	0.127 	9.118 	
34e   	7   	17   	  650 	below 	red 	red 	Good 	0.315 	0.082 	11.618 	
34e   	7   	18   	  50 	above 	red 	red 	Good 	0.410 	0.072 	11.618 	
34e   	7   	19   	  350 	below 	green 	red 	Good 	0.420 	0.076 	10.000 	
34e   	7   	20   	  650 	above 	green 	red 	Good 	0.389 	0.079 	10.147 	
34e   	7   	21   	  350 	below 	red 	red 	Good 	0.526 	0.072 	12.941 	
34e   	7   	22   	  350 	above 	red 	red 	Good 	0.397 	0.078 	13.676 	
34e   	7   	23   	  950 	above 	red 	red 	Good 	0.333 	0.085 	14.265 	
34e   	7   	24   	  950 	below 	green 	green 	Good 	0.440 	0.125 	9.706 	
34e   	7   	25   	  650 	below 	red 	green 	Good 	0.369 	0.129 	9.265 	
34e   	7   	26   	  50 	below 	red 	green 	Good 	0.625 	0.119 	10.147 	
34e   	7   	27   	  650 	above 	red 	green 	Good 	0.391 	0.126 	9.118 	
34e   	7   	28   	  50 	below 	green 	green 	Good 	0.546 	0.114 	8.824 	
34e   	7   	29   	  650 	below 	green 	green 	Good 	0.451 	0.121 	9.706 	
34e   	7   	30   	  350 	above 	green 	green 	Good 	0.407 	0.112 	11.029 	
34e   	7   	31   	  350 	below 	red 	green 	Good 	0.515 	0.109 	8.382 	
34e   	7   	32   	  50 	above 	green 	green 	Good 	0.417 	0.111 	8.382 	
34e   	8   	1   	  950 	above 	red 	green 	Good 	0.447 	0.113 	8.676 	
34e   	8   	2   	  50 	below 	green 	green 	Good 	0.439 	0.124 	11.471 	
34e   	8   	3   	  350 	below 	green 	red 	Good 	0.340 	0.094 	17.353 	
34e   	8   	4   	  650 	below 	red 	green 	Good 	0.363 	0.128 	9.559 	
34e   	8   	5   	  350 	above 	red 	green 	Good 	0.520 	0.117 	10.000 	
34e   	8   	6   	  350 	above 	red 	red 	Good 	0.320 	0.074 	12.794 	
34e   	8   	7   	  950 	below 	red 	green 	Good 	0.373 	0.111 	9.265 	
34e   	8   	9   	  650 	below 	red 	red 	Good 	0.328 	0.079 	11.618 	
34e   	8   	10   	  350 	below 	green 	green 	Good 	0.409 	0.121 	11.176 	
34e   	8   	11   	  650 	above 	green 	green 	Good 	0.885 	0.130 	10.735 	
34e   	8   	12   	  50 	below 	red 	red 	Good 	0.520 	0.086 	12.500 	
34e   	8   	13   	  650 	below 	green 	red 	Good 	0.324 	0.085 	13.235 	
34e   	8   	14   	  650 	above 	red 	green 	Good 	0.361 	0.123 	11.618 	
34e   	8   	15   	  650 	above 	green 	red 	Good 	0.307 	0.076 	10.294 	
34e   	8   	16   	  950 	below 	green 	green 	Good 	0.328 	0.119 	10.147 	
34e   	8   	17   	  950 	above 	green 	red 	Good 	0.335 	0.085 	12.059 	
34e   	8   	18   	  50 	above 	green 	red 	Good 	0.528 	0.081 	11.029 	
34e   	8   	19   	  650 	below 	green 	green 	Good 	0.511 	0.122 	11.912 	
34e   	8   	20   	  650 	above 	red 	red 	Good 	0.326 	0.081 	12.353 	
34e   	8   	21   	  950 	above 	green 	green 	Good 	0.352 	0.099 	7.647 	
34e   	8   	22   	  950 	below 	red 	red 	Good 	0.412 	0.071 	10.147 	
34e   	8   	23   	  950 	above 	red 	red 	Good 	0.837 	0.071 	10.147 	
34e   	8   	24   	  350 	above 	green 	green 	Good 	0.451 	0.119 	10.000 	
34e   	8   	25   	  50 	above 	red 	red 	Good 	0.629 	0.094 	12.206 	
34e   	8   	26   	  50 	below 	green 	red 	Good 	0.696 	0.094 	11.471 	
34e   	8   	27   	  50 	above 	red 	green 	Good 	0.761 	0.120 	10.000 	
34e   	8   	28   	  350 	below 	red 	red 	Good 	0.800 	0.088 	13.824 	
34e   	8   	29   	  950 	below 	green 	red 	Good 	0.345 	0.073 	12.794 	
34e   	8   	30   	  350 	below 	red 	green 	Good 	0.576 	0.118 	9.118 	
34e   	8   	31   	  350 	above 	green 	red 	Good 	0.340 	0.077 	13.529 	
34e   	8   	32   	  50 	above 	green 	green 	Good 	0.529 	0.107 	6.618 	
34e   	9   	1   	  650 	above 	red 	red 	Good 	0.448 	0.078 	15.294 	
34e   	9   	2   	  350 	below 	red 	green 	Good 	0.490 	0.119 	8.382 	
34e   	9   	3   	  950 	above 	red 	red 	Good 	0.321 	0.083 	13.382 	
34e   	9   	4   	  350 	above 	red 	red 	Good 	0.567 	0.095 	15.588 	
34e   	9   	5   	  650 	above 	red 	green 	Good 	0.287 	0.128 	10.294 	
34e   	9   	6   	  950 	below 	green 	red 	Good 	0.373 	0.078 	11.618 	
34e   	9   	7   	  350 	above 	red 	green 	Good 	0.458 	0.125 	8.088 	
34e   	9   	8   	  950 	above 	green 	green 	Good 	0.350 	0.104 	7.647 	
34e   	9   	9   	  350 	above 	green 	green 	Good 	0.354 	0.119 	9.118 	
34e   	9   	10   	  650 	above 	green 	green 	Good 	0.339 	0.127 	7.353 	
34e   	9   	11   	  950 	below 	red 	green 	Good 	0.468 	0.105 	6.471 	
34e   	9   	12   	  950 	above 	green 	red 	Good 	0.335 	0.089 	11.324 	
34e   	9   	13   	  650 	below 	green 	green 	Good 	0.392 	0.132 	7.647 	
34e   	9   	14   	  50 	above 	red 	red 	Good 	0.483 	0.094 	11.912 	
34e   	9   	15   	  950 	below 	green 	green 	Good 	0.312 	0.123 	8.382 	
34e   	9   	16   	  950 	above 	red 	green 	Good 	0.426 	0.132 	7.353 	
34e   	9   	17   	  50 	below 	red 	green 	Good 	0.589 	0.113 	9.412 	
34e   	9   	18   	  350 	below 	green 	red 	Good 	0.439 	0.082 	10.735 	
34e   	9   	19   	  50 	above 	red 	green 	Good 	0.886 	0.132 	8.382 	
34e   	9   	20   	  650 	below 	green 	red 	Good 	0.331 	0.069 	6.029 	
34e   	9   	21   	  350 	below 	green 	green 	Good 	1.163 	0.121 	10.294 	
34e   	9   	22   	  950 	below 	red 	red 	Good 	0.300 	0.070 	8.676 	
34e   	9   	23   	  350 	below 	red 	red 	Good 	0.381 	0.073 	8.088 	
34e   	9   	24   	  650 	above 	green 	red 	Good 	0.328 	0.084 	11.176 	
34e   	9   	25   	  50 	below 	green 	green 	Good 	0.621 	0.125 	9.118 	
34e   	9   	26   	  350 	above 	green 	red 	Good 	0.372 	0.099 	8.529 	
34e   	9   	28   	  50 	above 	green 	red 	Good 	0.520 	0.080 	8.824 	
34e   	9   	29   	  50 	above 	green 	green 	Good 	1.090 	0.125 	8.971 	
34e   	9   	30   	  650 	below 	red 	red 	Good 	0.426 	0.084 	8.529 	
34e   	9   	31   	  50 	below 	green 	red 	Good 	0.707 	0.085 	7.500 	
34e   	9   	32   	  50 	below 	red 	red 	Good 	0.508 	0.075 	8.529 	
34e   	10   	1   	  50 	below 	red 	red 	Good 	0.795 	0.071 	4.853 	
