S#    Block   Trial       SOA   FlkPos  FlkCol  TarCol  OnLine    RT      MT    Distance
26E   	7   	15   	  950 	below 	red 	green 	Good 	0.383 	0.099 	9.265 	
26E   	7   	16   	  650 	below 	red 	red 	Good 	0.517 	0.116 	11.471 	
26E   	7   	17   	  650 	below 	green 	red 	Good 	0.820 	0.095 	11.765 	
26E   	7   	18   	  650 	below 	red 	green 	Good 	0.556 	0.099 	12.059 	
26E   	7   	19   	  50 	below 	red 	green 	Good 	0.650 	0.093 	10.000 	
26E   	7   	20   	  50 	above 	green 	red 	Good 	0.781 	0.080 	9.412 	
26E   	7   	21   	  350 	below 	green 	green 	Good 	0.594 	0.080 	8.824 	
26E   	7   	22   	  350 	below 	red 	green 	Good 	0.555 	0.098 	10.441 	
26E   	7   	23   	  50 	below 	red 	red 	Good 	0.603 	0.100 	11.029 	
26E   	7   	24   	  950 	above 	green 	green 	Good 	0.585 	0.088 	11.912 	
26E   	7   	25   	  350 	above 	red 	green 	Good 	0.512 	0.080 	8.529 	
26E   	7   	26   	  650 	below 	green 	green 	Good 	0.501 	0.094 	11.324 	
26E   	7   	27   	  50 	above 	red 	green 	Good 	0.655 	0.084 	11.765 	
26E   	7   	28   	  350 	above 	green 	red 	Good 	0.607 	0.107 	11.029 	
26E   	7   	29   	  950 	below 	green 	red 	Good 	0.500 	0.117 	11.618 	
26E   	7   	30   	  50 	above 	green 	green 	Good 	1.132 	0.086 	11.029 	
26E   	7   	31   	  50 	below 	green 	red 	Good 	0.525 	0.106 	9.265 	
26E   	7   	32   	  350 	below 	green 	red 	Good 	0.558 	0.096 	10.294 	
26E   	8   	1   	  350 	below 	red 	red 	Good 	0.461 	0.130 	12.059 	
26E   	8   	2   	  50 	below 	green 	red 	Good 	0.724 	0.098 	10.882 	
26E   	8   	3   	  650 	below 	red 	green 	Good 	0.526 	0.093 	10.000 	
26E   	8   	4   	  650 	above 	green 	green 	Good 	0.497 	0.086 	10.441 	
26E   	8   	5   	  350 	below 	green 	red 	Good 	0.561 	0.094 	10.294 	
26E   	8   	6   	  350 	above 	green 	green 	Good 	1.015 	0.088 	10.588 	
26E   	8   	7   	  50 	above 	red 	red 	Good 	0.615 	0.102 	11.471 	
26E   	8   	8   	  350 	above 	green 	red 	Good 	0.692 	0.100 	11.176 	
26E   	8   	9   	  950 	above 	red 	green 	Good 	0.478 	0.080 	8.235 	
26E   	8   	10   	  650 	above 	red 	red 	Good 	0.389 	0.109 	11.029 	
26E   	8   	11   	  350 	below 	red 	green 	Good 	0.415 	0.079 	9.118 	
26E   	8   	12   	  50 	above 	red 	green 	Good 	0.565 	0.083 	9.853 	
26E   	8   	13   	  350 	below 	green 	green 	Good 	0.464 	0.081 	9.265 	
26E   	8   	14   	  950 	below 	green 	green 	Good 	0.529 	0.090 	10.441 	
26E   	8   	15   	  50 	above 	green 	green 	Good 	0.533 	0.084 	10.000 	
26E   	8   	16   	  950 	above 	red 	red 	Good 	0.508 	0.109 	13.235 	
26E   	8   	17   	  350 	above 	red 	red 	Good 	0.448 	0.113 	12.206 	
26E   	8   	18   	  950 	below 	green 	red 	Good 	0.619 	0.102 	11.324 	
26E   	8   	19   	  50 	above 	green 	red 	Good 	0.560 	0.091 	8.971 	
26E   	8   	20   	  650 	above 	green 	red 	Good 	0.448 	0.107 	11.324 	
26E   	8   	21   	  650 	below 	green 	red 	Good 	0.668 	0.092 	10.588 	
26E   	8   	22   	  650 	below 	green 	green 	Good 	0.576 	0.091 	11.618 	
26E   	8   	23   	  50 	below 	red 	red 	Good 	0.465 	0.083 	9.412 	
26E   	8   	24   	  50 	below 	green 	green 	Good 	0.631 	0.084 	11.029 	
26E   	8   	25   	  950 	above 	green 	green 	Good 	0.448 	0.092 	10.000 	
26E   	8   	26   	  950 	below 	red 	green 	Good 	0.471 	0.083 	10.441 	
26E   	8   	27   	  650 	below 	red 	red 	Good 	0.527 	0.092 	9.706 	
26E   	8   	28   	  350 	above 	red 	green 	Good 	0.804 	0.079 	11.029 	
26E   	8   	29   	  650 	above 	red 	green 	Good 	0.501 	0.087 	12.206 	
26E   	8   	30   	  50 	below 	red 	green 	Good 	0.919 	0.082 	9.706 	
26E   	8   	31   	  950 	above 	green 	red 	Good 	0.434 	0.119 	11.471 	
26E   	8   	32   	  950 	below 	red 	red 	Good 	0.500 	0.098 	11.029 	
26E   	9   	1   	  650 	above 	red 	green 	Good 	0.500 	0.070 	8.382 	
26E   	9   	2   	  350 	below 	red 	red 	Good 	0.425 	0.139 	11.471 	
26E   	9   	3   	  50 	below 	red 	red 	Good 	0.543 	0.110 	10.588 	
26E   	9   	4   	  950 	below 	red 	red 	Good 	0.546 	0.098 	10.882 	
26E   	9   	5   	  950 	above 	green 	red 	Good 	0.432 	0.112 	10.000 	
26E   	9   	6   	  650 	above 	red 	red 	Good 	0.488 	0.112 	12.941 	
26E   	9   	7   	  50 	below 	red 	green 	Good 	0.618 	0.084 	8.088 	
26E   	9   	8   	  650 	below 	green 	green 	Good 	0.442 	0.096 	9.853 	
26E   	9   	9   	  650 	above 	green 	green 	Good 	0.660 	0.079 	9.853 	
26E   	9   	10   	  950 	above 	red 	green 	Good 	0.596 	0.089 	10.147 	
26E   	9   	11   	  350 	below 	green 	green 	Good 	0.572 	0.084 	10.294 	
26E   	9   	12   	  50 	above 	green 	green 	Good 	0.514 	0.116 	13.088 	
26E   	9   	13   	  350 	above 	red 	green 	Good 	0.483 	0.084 	10.000 	
26E   	9   	14   	  650 	above 	green 	red 	Good 	0.433 	0.106 	11.324 	
26E   	9   	15   	  650 	below 	red 	red 	Good 	0.496 	0.118 	12.794 	
26E   	9   	16   	  950 	above 	red 	red 	Good 	0.468 	0.110 	10.441 	
26E   	9   	17   	  650 	below 	red 	green 	Good 	0.415 	0.091 	10.735 	
26E   	9   	18   	  50 	above 	green 	red 	Good 	0.755 	0.090 	11.618 	
26E   	9   	19   	  350 	above 	green 	green 	Good 	0.619 	0.104 	12.500 	
26E   	9   	20   	  950 	below 	green 	red 	Good 	0.425 	0.111 	13.382 	
26E   	9   	21   	  350 	below 	red 	green 	Good 	0.496 	0.093 	9.853 	
26E   	9   	22   	  950 	above 	green 	green 	Good 	0.453 	0.101 	12.647 	
26E   	9   	23   	  950 	below 	red 	green 	Good 	0.493 	0.105 	10.441 	
26E   	9   	24   	  950 	below 	green 	green 	Good 	0.414 	0.094 	11.324 	
26E   	9   	25   	  50 	above 	red 	green 	Good 	0.732 	0.093 	11.029 	
26E   	9   	26   	  50 	below 	green 	green 	Good 	0.581 	0.063 	10.147 	
26E   	9   	27   	  350 	above 	green 	red 	Good 	0.489 	0.113 	10.441 	
26E   	9   	28   	  350 	below 	green 	red 	Good 	0.550 	0.100 	9.412 	
26E   	9   	29   	  50 	below 	green 	red 	Good 	0.582 	0.106 	11.029 	
26E   	9   	30   	  50 	above 	red 	red 	Good 	0.611 	0.109 	10.588 	
26E   	9   	31   	  650 	below 	green 	red 	Good 	0.641 	0.096 	12.353 	
26E   	9   	32   	  350 	above 	red 	red 	Good 	0.465 	0.117 	11.912 	
26E   	10   	1   	  650 	below 	red 	red 	Good 	0.457 	0.118 	11.618 	
26E   	10   	2   	  950 	below 	green 	green 	Good 	0.516 	0.107 	9.853 	
26E   	10   	3   	  950 	below 	red 	green 	Good 	0.472 	0.091 	10.588 	
26E   	10   	4   	  50 	above 	green 	red 	Good 	0.542 	0.110 	12.794 	
26E   	10   	5   	  950 	below 	red 	red 	Good 	0.420 	0.116 	12.059 	
26E   	10   	6   	  350 	above 	red 	red 	Good 	0.501 	0.113 	12.647 	
26E   	10   	7   	  650 	above 	green 	green 	Good 	0.426 	0.092 	8.824 	
26E   	10   	8   	  650 	above 	green 	red 	Good 	0.423 	0.099 	10.147 	
26E   	10   	9   	  950 	above 	red 	red 	Good 	0.485 	0.106 	10.147 	
26E   	10   	10   	  350 	below 	red 	green 	Good 	0.483 	0.097 	9.853 	
26E   	10   	11   	  350 	below 	green 	red 	Good 	0.427 	0.114 	11.176 	
26E   	10   	12   	  50 	above 	green 	green 	Good 	0.434 	0.096 	10.882 	
26E   	10   	13   	  50 	below 	red 	red 	Good 	0.458 	0.112 	9.559 	
26E   	10   	14   	  950 	above 	red 	green 	Good 	0.402 	0.091 	9.853 	
26E   	10   	15   	  50 	above 	red 	red 	Good 	0.493 	0.106 	10.441 	
26E   	10   	16   	  950 	above 	green 	red 	Good 	0.545 	0.097 	10.588 	
26E   	10   	17   	  50 	below 	green 	red 	Good 	1.285 	0.111 	12.059 	
26E   	10   	18   	  650 	below 	red 	green 	Good 	0.422 	0.088 	12.500 	
26E   	10   	19   	  50 	below 	green 	green 	Good 	0.656 	0.094 	9.265 	
26E   	10   	20   	  650 	below 	green 	green 	Good 	0.447 	0.094 	11.471 	
26E   	10   	21   	  350 	above 	green 	red 	Good 	0.456 	0.120 	11.765 	
26E   	10   	22   	  950 	above 	green 	green 	Good 	0.420 	0.080 	9.265 	
26E   	10   	23   	  350 	above 	red 	green 	Good 	0.434 	0.110 	12.353 	
26E   	10   	24   	  950 	below 	green 	red 	Good 	0.394 	0.109 	10.000 	
26E   	10   	25   	  650 	above 	red 	green 	Good 	0.323 	0.073 	11.618 	
26E   	10   	26   	  650 	above 	red 	red 	Good 	0.428 	0.110 	9.118 	
26E   	10   	27   	  350 	below 	green 	green 	Good 	0.563 	0.065 	7.794 	
26E   	10   	28   	  350 	below 	red 	red 	Good 	0.548 	0.108 	9.853 	
26E   	10   	29   	  350 	above 	green 	green 	Good 	0.403 	0.097 	11.324 	
26E   	10   	30   	  50 	above 	red 	green 	Good 	0.520 	0.084 	10.735 	
26E   	10   	31   	  50 	below 	red 	green 	Good 	0.612 	0.077 	11.618 	
26E   	10   	32   	  650 	below 	green 	red 	Good 	0.403 	0.130 	12.059 	
26E   	11   	1   	  950 	above 	green 	red 	Good 	0.543 	0.096 	9.706 	
26E   	11   	3   	  650 	above 	red 	green 	Good 	0.476 	0.090 	12.353 	
26E   	11   	4   	  650 	above 	green 	red 	Good 	0.747 	0.100 	10.882 	
26E   	11   	5   	  350 	above 	red 	green 	Good 	0.749 	0.084 	12.794 	
