sub trial_no group_type block_type prime target mask1 mask2 congruency key_press key_error time_error RT
501 123 LeftLarger PercIBExp1 Prime_1N Target_4N HiJGECc JMAGDHC Congruent left error Normal 1648.371
501 124 LeftLarger PercIBExp1 Prime_9N Target_1N mhagIbj ABDKClf Incongruent left correct Normal 2561.737
501 125 LeftLarger PercIBExp1 Prime_1N Target_6N gLlDfeB cJCjFkE Incongruent right correct Normal 1895.726
501 126 LeftLarger PercIBExp1 Prime_9A Target_9A khDmHlc FDLGlmi Congruent right error Normal 2087.334
501 127 LeftLarger PercIBExp1 Prime_4N Target_4A CmheLjD bciafJH Congruent left error Normal 1756.678
501 128 LeftLarger PercIBExp1 Prime_1A Target_4N gfhJGFb KfeMDjH Congruent left error Normal 2273.358
501 129 LeftLarger PercIBExp1 Prime_4A Target_6A HCcjAlI clCKIEh Incongruent right correct Normal 2327.551
501 130 LeftLarger PercIBExp1 Prime_9A Target_4A CkHJhaM bcfkKiG Incongruent left correct Normal 1591.224
501 131 LeftLarger PercIBExp1 Prime_4A Target_9A BhKfGgI cJLlHaC Incongruent left error Normal 1488.65
501 132 LeftLarger PercIBExp1 Prime_4N Target_6A IegfGmD aGIceHd Incongruent left error Normal 1573.045
501 133 LeftLarger PercIBExp1 Prime_9A Target_6N fjhdleC CJLHief Congruent right error Normal 2181.311
501 134 LeftLarger PercIBExp1 Prime_9N Target_1A LEegjim HFKkhdg Incongruent left correct Normal 2162.57
501 135 LeftLarger PercIBExp1 Prime_4N Target_9N gfhlCka EHcgkbL Incongruent right correct Normal 1188.125
501 136 LeftLarger PercIBExp1 Prime_9N Target_6A iCEAmdj aGFEJcb Congruent left correct Normal 1606.923
501 137 LeftLarger PercIBExp1 Prime_6A Target_1A BGkejhM JlheLCj Incongruent right error Normal 1986.615
501 138 LeftLarger PercIBExp1 Prime_4A Target_4N iCGJkcE MieJFgk Congruent left error Normal 1977.335
501 139 LeftLarger PercIBExp1 Prime_9N Target_4N lgKCLBj KCcIifd Incongruent right error Normal 2103.453
501 140 LeftLarger PercIBExp1 Prime_1N Target_9N FemMHal FgKfLAd Incongruent left error Normal 2081.426
501 141 LeftLarger PercIBExp1 Prime_1A Target_1N iBeKFHa GimJDdE Congruent left error Normal 2327.144
501 142 LeftLarger PercIBExp1 Prime_6N Target_4N DfAJhHI LcagKEH Incongruent right error Normal 1590.033
501 143 LeftLarger PercIBExp1 Prime_1A Target_4A cklMImb MGicleb Congruent left error Normal 1328.123
501 144 LeftLarger PercIBExp1 Prime_6A Target_4N gGBAEbm kJAGEjh Incongruent left correct Normal 1950.091
501 145 LeftLarger PercIBExp1 Prime_1A Target_9A HfFJjDk MEgijFC Incongruent right correct Normal 1989.579
501 146 LeftLarger PercIBExp1 Prime_1A Target_6A bFhMfmd laLfkbj Incongruent left error Normal 2498.49
501 147 LeftLarger PercIBExp1 Prime_4A Target_4A jDmLIgJ hiecIGA Congruent left error Normal 2312.758
501 148 LeftLarger PercIBExp1 Prime_6A Target_6A jLfJFcH JLjdbgK Congruent left correct Normal 1766.677
501 149 LeftLarger PercIBExp1 Prime_4N Target_1A jbiGaMD HlgfGEc Congruent left error Normal 1962.405
501 150 LeftLarger PercIBExp1 Prime_6A Target_9N mDakBbK aFedmKf Congruent right error Normal 2131.392
501 151 LeftLarger PercIBExp1 Prime_6A Target_9A hafkjgD idbjhge Congruent left correct Normal 1858.773
501 152 LeftLarger PercIBExp1 Prime_6N Target_1A HEdgKDJ ifjbhGd Incongruent right error Normal 2559.693
501 153 LeftLarger PercIBExp1 Prime_4N Target_9A fKgGHeF hcdbAGB Incongruent right correct Normal 1898.54
501 154 LeftLarger PercIBExp1 Prime_9N Target_6N jGCaElm LedDfJk Congruent right error Normal 1931.928
501 155 LeftLarger PercIBExp1 Prime_9N Target_9N KLaFemh MilfjCL Congruent right error Normal 2153.65
501 156 LeftLarger PercIBExp1 Prime_4N Target_6N KEbhIkC KihIfHa Incongruent right correct Normal 2352.992
501 157 LeftLarger PercIBExp1 Prime_9A Target_4N jCJMfeF GfBAheM Incongruent right error Normal 1741.041
501 158 LeftLarger PercIBExp1 Prime_1A Target_9N BKCFHeI dKbaFmf Incongruent right correct Normal 2304.511
501 159 LeftLarger PercIBExp1 Prime_6N Target_9A JAhgFED MakLjdE Congruent left correct Normal 1112.889
501 160 LeftLarger PercIBExp1 Prime_1N Target_4A cMGafbD dLBlCHK Congruent left error Normal 1738.095
502 1 LeftSmaller PercIAPrac Prime_9N Target_4A kEJlKef eGKldAF Incongruent left error Normal 182.9641
502 2 LeftSmaller PercIAPrac Prime_1A Target_6A bgHiCed eMKhlcH Incongruent left correct Normal 282.9386
502 3 LeftSmaller PercIAPrac Prime_4N Target_4N bdGigej fIkJHlD Congruent left correct Normal 270.1703
502 4 LeftSmaller PercIAPrac Prime_9A Target_9A AGhdeIj DgklhMc Congruent right correct Normal 101.5096
502 5 LeftSmaller PercIAPrac Prime_9N Target_1N BeDKLMJ cghjDGL Incongruent left error Early 90.30246
502 6 LeftSmaller PercIAPrac Prime_9N Target_9A haJKmiA MdBJHbG Congruent right correct Early 54.54622
502 7 LeftSmaller PercIAPrac Prime_6A Target_9N HELlmkd aeklCJd Congruent left error Early 25.97869
502 8 LeftSmaller PercIAPrac Prime_4N Target_1A FcJflEb hFKkmGB Congruent right error Early 48.23418
502 9 LeftSmaller PercIAPrac Prime_6A Target_1A bELBFkK jkMBcie Incongruent left error Early 70.11427
502 10 LeftSmaller PercIAPrac Prime_1A Target_9A MjBkcAm AhkildD Incongruent right error Normal 172.6214
502 11 LeftSmaller PercIAPrac Prime_9A Target_1N gDHBibh kblFcAM Incongruent left error Normal 118.5115
502 12 LeftSmaller PercIAPrac Prime_9N Target_1A klmgBEC aFADEdM Incongruent right correct Early 16.31477
502 13 LeftSmaller PercIAPrac Prime_4A Target_9N lKIkBcF mhLkfjB Incongruent right error Early 88.65386
502 14 LeftSmaller PercIAPrac Prime_6N Target_4N jAidFbH IGJmFkD Incongruent left error Early 69.96535
502 15 LeftSmaller PercIAPrac Prime_9A Target_6A GgcKhmb DEAJjKG Congruent right correct Early 98.92487
502 16 LeftSmaller PercIAPrac Prime_4A Target_1A FlegdGi BAFEciJ Congruent left correct Early 16.26024
502 17 LeftSmaller PercIAExp1 Prime_6N Target_1A BdeGMKj FJkLBaA Incongruent left error Normal 211.1651
502 18 LeftSmaller PercIAExp1 Prime_1A Target_1A ijLAFbk kGhJlID Congruent left correct Normal 204.0428
502 19 LeftSmaller PercIAExp1 Prime_1N Target_1N lFGKBHe IjEFmhi Congruent right error Early 71.86942
502 20 LeftSmaller PercIAExp1 Prime_4A Target_4N DJGKjcd HKgMkiJ Congruent right error Normal 176.4427
502 21 LeftSmaller PercIAExp1 Prime_1A Target_6N hdBalbg BhKLmAf Incongruent left correct Normal 133.03
502 22 LeftSmaller PercIAExp1 Prime_9A Target_4A cCgFfdk akbfKJe Incongruent right correct Early 78.7345
502 23 LeftSmaller PercIAExp1 Prime_6N Target_9A MGmkJeH kBdiHAG Congruent right correct Early 43.22461
502 24 LeftSmaller PercIAExp1 Prime_9N Target_1N GjbMECd glBaLCi Incongruent right correct Normal 131.8578
502 25 LeftSmaller PercIAExp1 Prime_4A Target_6A cFdAgBI EmClcak Incongruent right error Early 98.19261
502 26 LeftSmaller PercIAExp1 Prime_6A Target_4N jakLHJd khcgjib Incongruent right correct Normal 134.9607
502 27 LeftSmaller PercIAExp1 Prime_6N Target_1N IeckHlF kEDHaAd Incongruent left error Normal 168.9778
502 28 LeftSmaller PercIAExp1 Prime_1N Target_9A gAkHJML hcbdLDH Incongruent right error Early 23.0521
502 29 LeftSmaller PercIAExp1 Prime_1A Target_6A gLiDbCI AhGiela Incongruent left correct Early 89.23967
502 30 LeftSmaller PercIAExp1 Prime_9A Target_6N fIFDjJl agbjMDH Congruent right correct Early 27.44509
502 31 LeftSmaller PercIAExp1 Prime_1N Target_1A jBIGlHf MElfKmi Congruent right error Normal 120.6013
502 32 LeftSmaller PercIAExp1 Prime_9N Target_4N BcakDhf DfJIHaB Incongruent left error Early 61.33888
502 33 LeftSmaller PercIAExp1 Prime_4N Target_6N CiEJKIB maALEMe Incongruent right error Early 30.48278
502 34 LeftSmaller PercIAExp1 Prime_6N Target_6A jLbHmAJ mBcCLMe Congruent right correct Early 86.74269
502 35 LeftSmaller PercIAExp1 Prime_9A Target_9A MmfJKiI amdMghE Congruent right correct Early 27.74793
502 36 LeftSmaller PercIAExp1 Prime_9A Target_1A ehBjFHL McJiCgI Incongruent right correct Normal 134.9887
502 37 LeftSmaller PercIAExp1 Prime_1A Target_9N gGMkJFH GkafMCh Incongruent left correct Early 80.57464
502 38 LeftSmaller PercIAExp1 Prime_6A Target_9N GmbJkjB CAJgaib Congruent right correct Early 53.05888
502 39 LeftSmaller PercIAExp1 Prime_6A Target_9A KMfHeJb EcHDaGK Congruent right correct Early 44.73457
502 40 LeftSmaller PercIAExp1 Prime_4N Target_1N HiKgBCD McdlCKk Congruent left correct Early 98.92724
502 41 LeftSmaller PercIAExp1 Prime_4A Target_9A hGLBjdF jIemkBG Incongruent right error Normal 107.8787
502 42 LeftSmaller PercIAExp1 Prime_4A Target_4A BEDcmbl FDKCdEe Congruent right error Early 80.97469
502 43 LeftSmaller PercIAExp1 Prime_4A Target_6N fkFJCHI KlkGAhc Incongruent right error Normal 135.6573
502 44 LeftSmaller PercIAExp1 Prime_9A Target_6A FDaGjBJ IkDbKfG Congruent left error Normal 144.9952
