subject,pair,soc_condition,stim,trial_n,target,beeps,response,rt,correct,order,pos,h1,h2,h3,h4,age
S1,P1,JA,2F2B,113,2,2,2,1.1017111829996793,1,B2,L,5,5,4,3,28
S1,P1,JA,2F2B,114,2,2,2,0.6402572460001466,1,B2,L,5,5,4,3,28
S1,P1,JA,1F2B,115,1,2,2,0.7508643780001876,0,B2,L,5,5,4,3,28
S1,P1,JA,1F2B,116,1,2,2,0.9219608069997776,0,B2,L,5,5,4,3,28
S1,P1,JA,1F1B,117,1,1,1,1.2583456740003385,1,B2,L,5,5,4,3,28
S1,P1,JA,2F1B,118,2,1,1,0.9069955369996023,0,B2,L,5,5,4,3,28
S1,P1,JA,2F1B,119,2,1,1,0.7042684909993113,0,B2,L,5,5,4,3,28
S1,P1,JA,2F2B,120,2,2,2,0.8241015989997322,1,B2,L,5,5,4,3,28
S1,P1,C,2F1B,1,2,1,1,0.8312270870001157,0,B3,L,5,5,4,3,28
S1,P1,C,2F1B,2,2,1,1,0.6352780739998707,0,B3,L,5,5,4,3,28
S1,P1,C,1F1B,3,1,1,1,0.7261280049997367,1,B3,L,5,5,4,3,28
S1,P1,C,2F2B,4,2,2,2,0.5060424009998314,1,B3,L,5,5,4,3,28
S1,P1,C,2F2B,5,2,2,2,0.49046877899945684,1,B3,L,5,5,4,3,28
S1,P1,C,2F1B,6,2,1,1,0.5959700470002645,0,B3,L,5,5,4,3,28
S1,P1,C,1F1B,7,1,1,1,0.5573121079996781,1,B3,L,5,5,4,3,28
S1,P1,C,1F1B,8,1,1,1,0.5177449229995545,1,B3,L,5,5,4,3,28
S1,P1,C,1F2B,9,1,2,2,0.5716675569992731,0,B3,L,5,5,4,3,28
S1,P1,C,1F2B,10,1,2,2,0.5439028049995613,0,B3,L,5,5,4,3,28
S1,P1,C,1F2B,11,1,2,2,0.5775139739998849,0,B3,L,5,5,4,3,28
S1,P1,C,2F2B,12,2,2,2,0.5786480510005276,1,B3,L,5,5,4,3,28
S1,P1,C,2F1B,13,2,1,1,0.7155995760003862,0,B3,L,5,5,4,3,28
S1,P1,C,2F2B,14,2,2,2,0.39774160100023437,1,B3,L,5,5,4,3,28
S1,P1,C,2F1B,15,2,1,2,0.6653805719997763,1,B3,L,5,5,4,3,28
S1,P1,C,2F2B,16,2,2,2,0.4797286539997003,1,B3,L,5,5,4,3,28
S1,P1,C,1F2B,17,1,2,2,0.5334271919991806,0,B3,L,5,5,4,3,28
S1,P1,C,1F1B,18,1,1,1,0.5399477829996613,1,B3,L,5,5,4,3,28
S1,P1,C,1F1B,19,1,1,1,0.45375827600037155,1,B3,L,5,5,4,3,28
S1,P1,C,1F2B,20,1,2,1,1.085286601000007,1,B3,L,5,5,4,3,28
S1,P1,C,2F2B,21,2,2,2,0.4102226770000925,1,B3,L,5,5,4,3,28
S1,P1,C,1F2B,22,1,2,2,0.44235662700066314,0,B3,L,5,5,4,3,28
S1,P1,C,2F1B,23,2,1,1,0.47965737899994565,0,B3,L,5,5,4,3,28
S1,P1,C,2F1B,24,2,1,1,1.1447750869992888,0,B3,L,5,5,4,3,28
S1,P1,C,1F1B,25,1,1,1,0.40819455000018934,1,B3,L,5,5,4,3,28
S1,P1,C,1F2B,26,1,2,2,0.9013187119999202,0,B3,L,5,5,4,3,28
S1,P1,C,1F1B,27,1,1,1,0.6101812699998845,1,B3,L,5,5,4,3,28
S1,P1,C,2F1B,28,2,1,1,0.4182638759994006,0,B3,L,5,5,4,3,28
S1,P1,C,2F2B,29,2,2,2,0.5917193000004772,1,B3,L,5,5,4,3,28
S1,P1,C,1F1B,30,1,1,1,0.5517089929999202,1,B3,L,5,5,4,3,28
S1,P1,C,1F1B,31,1,1,1,0.7830058119998284,1,B3,L,5,5,4,3,28
S1,P1,C,1F1B,32,1,1,1,0.4136025770003471,1,B3,L,5,5,4,3,28
S1,P1,C,2F1B,33,2,1,1,0.6710125830004472,0,B3,L,5,5,4,3,28
S1,P1,C,1F2B,34,1,2,2,0.6598163059998114,0,B3,L,5,5,4,3,28
S1,P1,C,1F1B,35,1,1,1,0.8287791069997184,1,B3,L,5,5,4,3,28
S1,P1,C,1F2B,36,1,2,2,0.4778791889993954,0,B3,L,5,5,4,3,28
S1,P1,C,2F1B,37,2,1,1,1.0011197490002814,0,B3,L,5,5,4,3,28
S1,P1,C,1F2B,38,1,2,2,0.865068006999536,0,B3,L,5,5,4,3,28
S1,P1,C,2F1B,39,2,1,1,1.0952996779997193,0,B3,L,5,5,4,3,28
S1,P1,C,2F1B,40,2,1,1,0.6500254239999776,0,B3,L,5,5,4,3,28
S1,P1,C,2F1B,41,2,1,1,0.6097535720000451,0,B3,L,5,5,4,3,28
S1,P1,C,1F2B,42,1,2,2,0.5117186739998942,0,B3,L,5,5,4,3,28
S1,P1,C,2F2B,43,2,2,2,0.45189131799997995,1,B3,L,5,5,4,3,28
S1,P1,C,1F1B,44,1,1,1,0.5196101430001363,1,B3,L,5,5,4,3,28
S1,P1,C,2F2B,45,2,2,2,0.6140074759996423,1,B3,L,5,5,4,3,28
S1,P1,C,1F1B,46,1,1,1,0.7556131319997803,1,B3,L,5,5,4,3,28
S1,P1,C,2F2B,47,2,2,2,0.714078033000078,1,B3,L,5,5,4,3,28
S1,P1,C,1F2B,48,1,2,2,0.46282111599975906,0,B3,L,5,5,4,3,28
S1,P1,C,2F1B,49,2,1,1,0.6825015779995738,0,B3,L,5,5,4,3,28
S1,P1,C,1F1B,50,1,1,1,0.4345153919994118,1,B3,L,5,5,4,3,28
S1,P1,C,2F1B,51,2,1,1,0.5081959379995169,0,B3,L,5,5,4,3,28
