"","exp","non_directional.p","non_directional.statistic","non_directional.consistency_per_id.idv","non_directional.consistency_per_id.score","directional_effect.statistic","directional_effect.p","directional_effect.ci_low","directional_effect.ci_high","quid_bf","pbt.low","pbt.high","pbt.MAP"
"97","Biderman & Mudrik_2018_2",0.2564,0.531288888888889,"932",0.66,11.9741329141485,0.2488,-7.35749129056544,31.4648965199517,42.7190009889597,0,0.0990162091266499,0
"98","Biderman & Mudrik_2018_2",0.2564,0.531288888888889,"934",0.7,11.9741329141485,0.2488,-7.35749129056544,31.4648965199517,42.7190009889597,0,0.0990162091266499,0
"99","Biderman & Mudrik_2018_2",0.2564,0.531288888888889,"935",0.756,11.9741329141485,0.2488,-7.35749129056544,31.4648965199517,42.7190009889597,0,0.0990162091266499,0
"100","Biderman & Mudrik_2018_2",0.2564,0.531288888888889,"936",0.586,11.9741329141485,0.2488,-7.35749129056544,31.4648965199517,42.7190009889597,0,0.0990162091266499,0
"101","Biderman & Mudrik_2018_2",0.2564,0.531288888888889,"937",0.928,11.9741329141485,0.2488,-7.35749129056544,31.4648965199517,42.7190009889597,0,0.0990162091266499,0
"102","Biderman & Mudrik_2018_2",0.2564,0.531288888888889,"938",0.826,11.9741329141485,0.2488,-7.35749129056544,31.4648965199517,42.7190009889597,0,0.0990162091266499,0
"103","Biderman & Mudrik_2018_2",0.2564,0.531288888888889,"939",0.898,11.9741329141485,0.2488,-7.35749129056544,31.4648965199517,42.7190009889597,0,0.0990162091266499,0
"104","Biderman & Mudrik_2018_2",0.2564,0.531288888888889,"940",0.892,11.9741329141485,0.2488,-7.35749129056544,31.4648965199517,42.7190009889597,0,0.0990162091266499,0
"105","Biderman & Mudrik_2018_2",0.2564,0.531288888888889,"941",0.844,11.9741329141485,0.2488,-7.35749129056544,31.4648965199517,42.7190009889597,0,0.0990162091266499,0
"106","Biderman & Mudrik_2018_2",0.2564,0.531288888888889,"943",0.274,11.9741329141485,0.2488,-7.35749129056544,31.4648965199517,42.7190009889597,0,0.0990162091266499,0
"107","Biderman & Mudrik_2018_2",0.2564,0.531288888888889,"944",0.176,11.9741329141485,0.2488,-7.35749129056544,31.4648965199517,42.7190009889597,0,0.0990162091266499,0
"108","Biderman & Mudrik_2018_2",0.2564,0.531288888888889,"945",0.156,11.9741329141485,0.2488,-7.35749129056544,31.4648965199517,42.7190009889597,0,0.0990162091266499,0
"109","Biderman & Mudrik_2018_2",0.2564,0.531288888888889,"946",0.362,11.9741329141485,0.2488,-7.35749129056544,31.4648965199517,42.7190009889597,0,0.0990162091266499,0
"110","Biderman & Mudrik_2018_2",0.2564,0.531288888888889,"947",0.598,11.9741329141485,0.2488,-7.35749129056544,31.4648965199517,42.7190009889597,0,0.0990162091266499,0
"111","Biderman & Mudrik_2018_2",0.2564,0.531288888888889,"948",0.936,11.9741329141485,0.2488,-7.35749129056544,31.4648965199517,42.7190009889597,0,0.0990162091266499,0
"112","Biderman & Mudrik_2018_2",0.2564,0.531288888888889,"949",0.494,11.9741329141485,0.2488,-7.35749129056544,31.4648965199517,42.7190009889597,0,0.0990162091266499,0
"113","Biderman & Mudrik_2018_2",0.2564,0.531288888888889,"950",0.906,11.9741329141485,0.2488,-7.35749129056544,31.4648965199517,42.7190009889597,0,0.0990162091266499,0
"114","Biderman & Mudrik_2018_2",0.2564,0.531288888888889,"952",0.982,11.9741329141485,0.2488,-7.35749129056544,31.4648965199517,42.7190009889597,0,0.0990162091266499,0
"115","Biderman & Mudrik_2018_2",0.2564,0.531288888888889,"955",0.68,11.9741329141485,0.2488,-7.35749129056544,31.4648965199517,42.7190009889597,0,0.0990162091266499,0
"116","Biderman & Mudrik_2018_2",0.2564,0.531288888888889,"956",0.042,11.9741329141485,0.2488,-7.35749129056544,31.4648965199517,42.7190009889597,0,0.0990162091266499,0
"117","Biderman & Mudrik_2018_3",0.027,0.569244444444444,"201",0.816,15.4273693190503,0.1842,-7.27351112916437,38.3900009258822,20.9168767295471,0,0.174617820324777,0.064327485380117
"118","Biderman & Mudrik_2018_3",0.027,0.569244444444444,"202",0.334,15.4273693190503,0.1842,-7.27351112916437,38.3900009258822,20.9168767295471,0,0.174617820324777,0.064327485380117
"119","Biderman & Mudrik_2018_3",0.027,0.569244444444444,"204",0.682,15.4273693190503,0.1842,-7.27351112916437,38.3900009258822,20.9168767295471,0,0.174617820324777,0.064327485380117
"120","Biderman & Mudrik_2018_3",0.027,0.569244444444444,"207",0.974,15.4273693190503,0.1842,-7.27351112916437,38.3900009258822,20.9168767295471,0,0.174617820324777,0.064327485380117
"121","Biderman & Mudrik_2018_3",0.027,0.569244444444444,"208",0.694,15.4273693190503,0.1842,-7.27351112916437,38.3900009258822,20.9168767295471,0,0.174617820324777,0.064327485380117
"122","Biderman & Mudrik_2018_3",0.027,0.569244444444444,"209",0.118,15.4273693190503,0.1842,-7.27351112916437,38.3900009258822,20.9168767295471,0,0.174617820324777,0.064327485380117
"123","Biderman & Mudrik_2018_3",0.027,0.569244444444444,"210",0.148,15.4273693190503,0.1842,-7.27351112916437,38.3900009258822,20.9168767295471,0,0.174617820324777,0.064327485380117
"124","Biderman & Mudrik_2018_3",0.027,0.569244444444444,"211",0.574,15.4273693190503,0.1842,-7.27351112916437,38.3900009258822,20.9168767295471,0,0.174617820324777,0.064327485380117
"125","Biderman & Mudrik_2018_3",0.027,0.569244444444444,"212",0.302,15.4273693190503,0.1842,-7.27351112916437,38.3900009258822,20.9168767295471,0,0.174617820324777,0.064327485380117
"126","Biderman & Mudrik_2018_3",0.027,0.569244444444444,"213",0.768,15.4273693190503,0.1842,-7.27351112916437,38.3900009258822,20.9168767295471,0,0.174617820324777,0.064327485380117
"127","Biderman & Mudrik_2018_3",0.027,0.569244444444444,"214",0.812,15.4273693190503,0.1842,-7.27351112916437,38.3900009258822,20.9168767295471,0,0.174617820324777,0.064327485380117
"128","Biderman & Mudrik_2018_3",0.027,0.569244444444444,"216",0.72,15.4273693190503,0.1842,-7.27351112916437,38.3900009258822,20.9168767295471,0,0.174617820324777,0.064327485380117
"129","Biderman & Mudrik_2018_3",0.027,0.569244444444444,"217",0.064,15.4273693190503,0.1842,-7.27351112916437,38.3900009258822,20.9168767295471,0,0.174617820324777,0.064327485380117
"130","Biderman & Mudrik_2018_3",0.027,0.569244444444444,"218",0.482,15.4273693190503,0.1842,-7.27351112916437,38.3900009258822,20.9168767295471,0,0.174617820324777,0.064327485380117
"131","Biderman & Mudrik_2018_3",0.027,0.569244444444444,"219",0.776,15.4273693190503,0.1842,-7.27351112916437,38.3900009258822,20.9168767295471,0,0.174617820324777,0.064327485380117
"132","Biderman & Mudrik_2018_3",0.027,0.569244444444444,"220",0.664,15.4273693190503,0.1842,-7.27351112916437,38.3900009258822,20.9168767295471,0,0.174617820324777,0.064327485380117
"133","Biderman & Mudrik_2018_3",0.027,0.569244444444444,"222",0.98,15.4273693190503,0.1842,-7.27351112916437,38.3900009258822,20.9168767295471,0,0.174617820324777,0.064327485380117
"134","Biderman & Mudrik_2018_3",0.027,0.569244444444444,"224",0.276,15.4273693190503,0.1842,-7.27351112916437,38.3900009258822,20.9168767295471,0,0.174617820324777,0.064327485380117
"135","Biderman & Mudrik_2018_3",0.027,0.569244444444444,"226",0.884,15.4273693190503,0.1842,-7.27351112916437,38.3900009258822,20.9168767295471,0,0.174617820324777,0.064327485380117
"136","Biderman & Mudrik_2018_3",0.027,0.569244444444444,"227",0.282,15.4273693190503,0.1842,-7.27351112916437,38.3900009258822,20.9168767295471,0,0.174617820324777,0.064327485380117
"137","Biderman & Mudrik_2018_3",0.027,0.569244444444444,"228",0.17,15.4273693190503,0.1842,-7.27351112916437,38.3900009258822,20.9168767295471,0,0.174617820324777,0.064327485380117
