"","exp","non_directional.statistic","non_directional.p","directional_effect.statistic","directional_effect.p","quid_bf","pbt.low","pbt.high"
"116","data_Siedlecka_2018_bioRxiv.csv",0.622783216783217,0,-0.043428807369774,0.426,1.01383561291399e-25,0.189324942677391,0.345845027815391
"117","data_Siedlecka_2019.csv",0.735513513513513,0,0.0414255523900312,0.516,6.48060326897245e-173,0.379468994809188,0.70096249992372
"118","data_Siedlecka_2019_Exp1.csv",0.508526315789474,0.385,0.0611398014331132,0.05,0.208279343436526,0,0.148891009749007
"119","data_Siedlecka_2019_Exp2.csv",0.888145454545455,0,-0.524774236926823,0,1.79372084637994e-180,0.561064688233026,0.806908225450053
"120","data_Siedlecka_unpub.csv",0.5353,0.29,-0.0267247027424308,0.408,13.5090812049287,0,0.236809400650052
"121","data_Skora_2016.csv",0.719473684210526,0,0.289893553076654,0.046,7.48760673121158e-215,0.232033514167568,0.666474033854362
"122","data_Skora_unpub.csv",0.806878048780488,0,0.187215615063049,0,4.99533852866019e-53,0.331099490352393,0.64043732180083
"123","data_Song_2011.csv",0.817666666666667,0,-0.0814788469398312,0.34,3.00043700338417e-32,0.25120342381564,0.696164997236991
"124","data_Teuchies_2019.csv",0.6038,0.036,-3.9495135830143,0.0580000000000001,0.00750695837432758,0.0628484265076401,0.367373228252045
"125","data_VanBoxtel_2019_Expt1.csv",0.648711111111111,0,-0.0254699423545866,0.252,2.29644114740637e-47,0.167673427702379,0.447694485789274
"126","data_VanBoxtel_2019_Expt2.csv",0.85372972972973,0,0.0499838547806837,0.2,5.59820333403815e-141,0.379468994809188,0.70096249992372
"127","data_Wang_2017_NatComm.csv",0.77075,0.007,-0.0312604778249256,0.498,1.58263768785478e-11,0.186708636562569,0.692890285407678
"128","data_Wang_2017_Neuropsychologia.csv",0.885090909090909,0,-0.28215840810779,0,3.33352843967884e-75,0.556973613371118,0.90440405852005
"129","data_Wang_2018.csv",0.793666666666667,0,-0.140602110176193,0,6.09219136955246e-82,0.237894517431425,0.630174198231929
"130","data_Weidemann_2016.csv",0.995906432748538,0,0.929862644287742,0,0,0.971147438602638,0.999732695574711
"131","data_Wierzchon_2012.csv",0.765087557603687,0,0.467646523620874,0,0,0.393602706201032,0.534141694560357
"132","data_Wierzchon_2014.csv",0.729051948051948,0,0.121611554359466,0,1.11664720662211e-298,0.33151563661101,0.494829334091379
"133","data_Wierzchon_2019.csv",0.850591549295775,0,0.0792972396422774,0,7.84114648414346e-171,0.419464317564786,0.656696889699569
"134","data_Xu_2019_Exp1.csv",0.592193548387097,0.03,0.0297495720129396,0.194,0.149803629554457,0,0.225699212353871
"135","data_Xu_2019_Exp2.csv",0.428666666666667,0.852,-4.98981317857787e-05,0.992,26.2998139247526,0,0.151369229889393
"136","data_Ye_2018.csv",0.609,0.038,0.0600575169733543,0.012,0.00451675027124439,0.0304265150341657,0.404320769163432
"137","data_Yeon_unpub_Exp1.csv",0.910833333333333,0,0.0437230526208001,0.396,1.90559869550265e-76,0.491792268475377,0.851889374155465
"138","data_Yeon_unpub_Exp2.csv",0.910108108108108,0,0.152717118335425,0,1.13051613727058e-116,0.524405591904457,0.82208405679706
"139","data_Zylberberg_2016.csv",0.994666666666667,0,-0.00988752822550376,0.776,0.00047698528978905,0.187779351691681,0.953638988249076
