"","idv","iv","iv2","dv","exp","order","half"
"250",12,"JA",2,0.385472503000074,"Battich_etal_2021_rt_2","B1",1
"251",12,"JA",1,0.523476820999804,"Battich_etal_2021_rt_2","B1",1
"252",12,"JA",1,0.584605332999672,"Battich_etal_2021_rt_2","B1",1
"253",12,"JA",2,0.473833071999707,"Battich_etal_2021_rt_2","B1",1
"254",12,"JA",1,0.545713242000147,"Battich_etal_2021_rt_2","B1",1
"255",12,"JA",2,0.401680877000217,"Battich_etal_2021_rt_1","B1",1
"256",12,"JA",1,0.46771455399994,"Battich_etal_2021_rt_2","B1",1
"257",12,"JA",2,0.41090487099973,"Battich_etal_2021_rt_1","B1",1
"258",12,"JA",2,0.605703930000345,"Battich_etal_2021_rt_1","B1",1
"259",12,"JA",1,0.831209751000188,"Battich_etal_2021_rt_2","B1",1
"260",12,"JA",1,0.495160567000312,"Battich_etal_2021_rt_2","B1",1
"261",12,"JA",2,1.02434476100007,"Battich_etal_2021_rt_1","B1",1
"262",12,"JA",1,0.538812685999801,"Battich_etal_2021_rt_2","B1",1
"263",12,"JA",2,0.483251496999856,"Battich_etal_2021_rt_1","B1",1
"264",12,"JA",1,0.447284336000394,"Battich_etal_2021_rt_1","B1",1
"265",12,"JA",2,0.564305950000289,"Battich_etal_2021_rt_1","B1",1
"266",12,"JA",1,0.505634068999825,"Battich_etal_2021_rt_1","B1",1
"267",12,"JA",1,0.690864063999925,"Battich_etal_2021_rt_2","B1",1
"268",12,"JA",2,0.663930269000048,"Battich_etal_2021_rt_2","B1",1
"269",12,"JA",2,0.485825691999707,"Battich_etal_2021_rt_2","B1",1
"270",12,"JA",1,0.534471820999897,"Battich_etal_2021_rt_2","B1",1
"271",12,"JA",2,0.632308886999908,"Battich_etal_2021_rt_1","B1",1
"272",12,"JA",2,0.51069452900083,"Battich_etal_2021_rt_1","B1",1
"273",12,"JA",1,0.74477531499997,"Battich_etal_2021_rt_2","B1",1
"274",12,"JA",2,0.477175017999798,"Battich_etal_2021_rt_2","B1",1
"275",12,"JA",2,0.487658063999334,"Battich_etal_2021_rt_2","B1",1
"276",12,"JA",1,0.407689483000468,"Battich_etal_2021_rt_1","B1",1
"277",12,"JA",2,0.501071354000487,"Battich_etal_2021_rt_2","B1",1
"278",12,"JA",2,0.666573599000003,"Battich_etal_2021_rt_2","B1",1
"279",12,"JA",2,0.867120195000098,"Battich_etal_2021_rt_1","B1",1
"280",12,"JA",2,0.596942164000211,"Battich_etal_2021_rt_1","B1",1
"281",12,"JA",2,0.641267064999738,"Battich_etal_2021_rt_1","B1",1
"282",12,"JA",1,0.704946762999498,"Battich_etal_2021_rt_2","B1",1
"283",12,"JA",2,0.753505423000206,"Battich_etal_2021_rt_2","B1",1
"284",12,"JA",2,0.851416332000554,"Battich_etal_2021_rt_1","B1",1
"285",12,"JA",1,0.549677298999995,"Battich_etal_2021_rt_2","B1",1
"286",12,"JA",2,0.844203703999483,"Battich_etal_2021_rt_1","B1",1
"287",12,"JA",2,0.628294573999483,"Battich_etal_2021_rt_2","B1",1
"288",12,"JA",2,0.804718110999602,"Battich_etal_2021_rt_2","B1",1
"289",12,"JA",2,0.856438468999841,"Battich_etal_2021_rt_1","B1",1
"290",12,"JA",1,0.585785321999538,"Battich_etal_2021_rt_1","B1",1
"291",12,"JA",2,0.490912784000102,"Battich_etal_2021_rt_2","B1",1
"292",12,"JA",1,0.905690583000251,"Battich_etal_2021_rt_2","B1",1
"293",12,"JA",1,0.420363236999947,"Battich_etal_2021_rt_1","B1",1
"294",12,"JA",1,0.389828694999778,"Battich_etal_2021_rt_1","B1",1
"295",12,"JA",2,0.510916006000116,"Battich_etal_2021_rt_2","B1",1
"296",12,"JA",1,0.55076500999985,"Battich_etal_2021_rt_1","B1",1
"297",12,"JA",1,0.470628322999801,"Battich_etal_2021_rt_1","B1",1
"298",12,"JA",2,0.708120800999495,"Battich_etal_2021_rt_1","B1",1
"299",12,"JA",2,0.551848220000466,"Battich_etal_2021_rt_2","B1",1
"300",12,"JA",1,0.425688956000158,"Battich_etal_2021_rt_1","B1",1
"301",12,"JA",2,0.60660288300005,"Battich_etal_2021_rt_1","B1",1
"302",12,"JA",2,0.896187780000218,"Battich_etal_2021_rt_2","B1",1
"303",12,"JA",1,0.962908683000023,"Battich_etal_2021_rt_2","B1",1
"304",12,"JA",2,0.565382609999688,"Battich_etal_2021_rt_2","B1",1
"305",12,"JA",1,0.547065169000234,"Battich_etal_2021_rt_2","B1",1
"306",12,"JA",1,0.479789758000152,"Battich_etal_2021_rt_1","B1",1
"307",12,"JA",2,0.502450986999975,"Battich_etal_2021_rt_2","B1",1
"308",12,"JA",1,0.615197735000038,"Battich_etal_2021_rt_2","B1",1
"309",12,"JA",2,0.623948204000044,"Battich_etal_2021_rt_2","B1",1
"310",12,"JA",1,0.410252200000286,"Battich_etal_2021_rt_1","B1",1
"311",12,"JA",1,0.500351730000148,"Battich_etal_2021_rt_1","B1",1
"312",12,"JA",1,0.470932299999731,"Battich_etal_2021_rt_1","B1",1
"313",12,"JA",2,0.47282424199966,"Battich_etal_2021_rt_1","B1",1
"314",12,"JA",2,0.488987396000084,"Battich_etal_2021_rt_2","B1",1
"315",12,"JA",1,0.43252739700074,"Battich_etal_2021_rt_1","B1",1
"316",12,"JA",2,0.511774270000387,"Battich_etal_2021_rt_1","B1",1
"317",12,"JA",1,0.612801455999943,"Battich_etal_2021_rt_2","B1",1
"318",12,"JA",1,0.547280515000239,"Battich_etal_2021_rt_1","B1",1
"319",12,"JA",1,0.537612270999489,"Battich_etal_2021_rt_2","B1",1
"320",12,"JA",1,0.521274149999954,"Battich_etal_2021_rt_2","B1",1
"321",12,"JA",1,0.531271861999812,"Battich_etal_2021_rt_2","B1",1
"322",12,"JA",2,0.416272482999375,"Battich_etal_2021_rt_2","B1",1
"323",12,"JA",1,0.449065655000595,"Battich_etal_2021_rt_2","B1",1
"324",12,"JA",2,0.413538557999345,"Battich_etal_2021_rt_1","B1",1
"325",12,"JA",1,0.622073978999651,"Battich_etal_2021_rt_1","B1",1
"326",12,"JA",2,0.397872477999954,"Battich_etal_2021_rt_1","B1",1
"327",12,"JA",2,0.43380900000011,"Battich_etal_2021_rt_2","B1",1
"328",12,"JA",1,0.608258549000311,"Battich_etal_2021_rt_2","B1",1
"329",12,"JA",2,0.416932035000173,"Battich_etal_2021_rt_2","B1",1
"330",12,"JA",1,0.471082822000426,"Battich_etal_2021_rt_1","B1",1
"331",12,"JA",2,0.395526631000394,"Battich_etal_2021_rt_1","B1",1
